x y z Ts
7.4954390000e-02 -8.4957000000e-04 0.0000000000e+00 6.4990573019e+02
7.4879340000e-02 -7.1243000000e-04 0.0000000000e+00 6.4928184459e+02
7.4808870000e-02 -5.7286000000e-04 0.0000000000e+00 6.4860169610e+02
7.4739840000e-02 -4.3257000000e-04 0.0000000000e+00 6.4788374913e+02
7.4672040000e-02 -2.9168000000e-04 0.0000000000e+00 6.4713247475e+02
7.4605410000e-02 -1.5024000000e-04 0.0000000000e+00 6.4635508167e+02
7.4538690000e-02 -5.8600000000e-06 0.0000000000e+00 6.4554485020e+02
7.4466790000e-02 1.5326000000e-04 0.0000000000e+00 6.4463301852e+02
7.4387850000e-02 3.3195000000e-04 0.0000000000e+00 6.4358715356e+02
7.4299630000e-02 5.3662000000e-04 0.0000000000e+00 6.4235704333e+02
7.4198400000e-02 7.7774000000e-04 0.0000000000e+00 6.4085603043e+02
7.4079810000e-02 1.0683600000e-03 0.0000000000e+00 6.3897010114e+02
7.3936830000e-02 1.4296700000e-03 0.0000000000e+00 6.3648578598e+02
7.3761190000e-02 1.8879700000e-03 0.0000000000e+00 6.3306238988e+02
7.3546840000e-02 2.4634200000e-03 0.0000000000e+00 6.2822987753e+02
7.3296060000e-02 3.1468000000e-03 0.0000000000e+00 6.2171981359e+02
7.3017520000e-02 3.9000200000e-03 0.0000000000e+00 6.1414387423e+02
7.2719980000e-02 4.6865900000e-03 0.0000000000e+00 6.0725353383e+02
7.2410020000e-02 5.4879600000e-03 0.0000000000e+00 6.0515181854e+02
7.2090690000e-02 6.2972700000e-03 0.0000000000e+00 6.0933527558e+02
7.1763030000e-02 7.1127200000e-03 0.0000000000e+00 6.1628063817e+02
7.1427150000e-02 7.9352200000e-03 0.0000000000e+00 6.2251810138e+02
7.1082900000e-02 8.7663700000e-03 0.0000000000e+00 6.2727690332e+02
7.0730700000e-02 9.6065100000e-03 0.0000000000e+00 6.3038956028e+02
7.0371200000e-02 1.0454860000e-02 0.0000000000e+00 6.3199459076e+02
7.0005160000e-02 1.1311770000e-02 0.0000000000e+00 6.3221169704e+02
6.9632810000e-02 1.2177980000e-02 0.0000000000e+00 6.3109829523e+02
6.9255300000e-02 1.3051740000e-02 0.0000000000e+00 6.2868964110e+02
6.8874050000e-02 1.3929630000e-02 0.0000000000e+00 6.2507068942e+02
6.8489980000e-02 1.4809470000e-02 0.0000000000e+00 6.2028026201e+02
6.8104190000e-02 1.5688650000e-02 0.0000000000e+00 6.1427885335e+02
6.7717490000e-02 1.6564900000e-02 0.0000000000e+00 6.0716997110e+02
6.7329000000e-02 1.7440630000e-02 0.0000000000e+00 5.9933415515e+02
6.6936820000e-02 1.8319650000e-02 0.0000000000e+00 5.9162309327e+02
6.6542160000e-02 1.9199140000e-02 0.0000000000e+00 5.8655661057e+02
6.6148410000e-02 2.0071650000e-02 0.0000000000e+00 5.8605963015e+02
6.5756840000e-02 2.0934160000e-02 0.0000000000e+00 5.8941666465e+02
6.5366900000e-02 2.1788080000e-02 0.0000000000e+00 5.9409102139e+02
6.4977770000e-02 2.2635350000e-02 0.0000000000e+00 5.9825078208e+02
6.4588060000e-02 2.3478830000e-02 0.0000000000e+00 6.0117113546e+02
6.4196080000e-02 2.4321950000e-02 0.0000000000e+00 6.0270095341e+02
6.3802000000e-02 2.5164580000e-02 0.0000000000e+00 6.0288404151e+02
6.3407490000e-02 2.6002950000e-02 0.0000000000e+00 6.0168644669e+02
6.3013430000e-02 2.6835290000e-02 0.0000000000e+00 5.9923198910e+02
6.2619080000e-02 2.7662790000e-02 0.0000000000e+00 5.9566269603e+02
6.2223390000e-02 2.8488090000e-02 0.0000000000e+00 5.9096748461e+02
6.1823580000e-02 2.9316570000e-02 0.0000000000e+00 5.8525631434e+02
6.1416470000e-02 3.0154720000e-02 0.0000000000e+00 5.7868224521e+02
6.1001260000e-02 3.1003760000e-02 0.0000000000e+00 5.7165172135e+02
6.0580060000e-02 3.1859360000e-02 0.0000000000e+00 5.6511739596e+02
6.0154960000e-02 3.2716680000e-02 0.0000000000e+00 5.6023237011e+02
5.9729130000e-02 3.3569660000e-02 0.0000000000e+00 5.5819940512e+02
5.9307180000e-02 3.4408870000e-02 0.0000000000e+00 5.5889039766e+02
5.8891070000e-02 3.5230670000e-02 0.0000000000e+00 5.6130643436e+02
5.8476530000e-02 3.6043690000e-02 0.0000000000e+00 5.6409651786e+02
5.8056430000e-02 3.6861760000e-02 0.0000000000e+00 5.6654176296e+02
5.7626460000e-02 3.7693130000e-02 0.0000000000e+00 5.6800720234e+02
5.7187140000e-02 3.8536000000e-02 0.0000000000e+00 5.6834973748e+02
5.6742310000e-02 3.9383060000e-02 0.0000000000e+00 5.6736510338e+02
5.6294730000e-02 4.0228780000e-02 0.0000000000e+00 5.6510515159e+02
5.5845220000e-02 4.1071500000e-02 0.0000000000e+00 5.6169757581e+02
5.5395130000e-02 4.1908670000e-02 0.0000000000e+00 5.5727386185e+02
5.4947730000e-02 4.2734240000e-02 0.0000000000e+00 5.5208866304e+02
5.4504450000e-02 4.3545720000e-02 0.0000000000e+00 5.4659083855e+02
5.4061340000e-02 4.4350690000e-02 0.0000000000e+00 5.4109614012e+02
