# markii vane — 平滑化輪郭 (周期スプライン, s=0.05*m)
# 入力: vane_markii_profile.csv (表の点 + 復元円弧)
# 検査: 表点からの max 0.00842 cm / 折れ角 max 79.32° / R_LE 1.279 R_TE 0.018 cm
i,x_cm,y_cm
938,2.70809,7.59878
939,2.70298,7.60635
940,2.69786,7.61393
941,2.69274,7.62150
942,2.68761,7.62907
943,2.68249,7.63663
944,2.67735,7.64420
945,2.67222,7.65176
946,2.66707,7.65931
947,2.66193,7.66687
948,2.65678,7.67442
949,2.65163,7.68197
950,2.64647,7.68951
951,2.64131,7.69706
952,2.63614,7.70460
953,2.63097,7.71214
954,2.62580,7.71967
955,2.62062,7.72720
956,2.61544,7.73473
957,2.61025,7.74226
958,2.60506,7.74978
959,2.59986,7.75730
960,2.59467,7.76482
961,2.58946,7.77234
962,2.58425,7.77985
963,2.57904,7.78736
964,2.57383,7.79486
965,2.56861,7.80237
966,2.56338,7.80987
967,2.55815,7.81737
968,2.55292,7.82486
969,2.54768,7.83235
970,2.54244,7.83984
971,2.53720,7.84732
972,2.53195,7.85481
973,2.52669,7.86229
974,2.52143,7.86976
975,2.51617,7.87724
976,2.51090,7.88471
977,2.50563,7.89217
978,2.50035,7.89964
979,2.49507,7.90710
980,2.48979,7.91455
981,2.48450,7.92201
982,2.47920,7.92946
983,2.47391,7.93691
984,2.46860,7.94435
985,2.46330,7.95180
986,2.45798,7.95923
987,2.45267,7.96667
988,2.44735,7.97410
989,2.44202,7.98153
990,2.43669,7.98896
991,2.43136,7.99638
992,2.42602,8.00380
993,2.42068,8.01121
994,2.41533,8.01863
995,2.40998,8.02604
996,2.40462,8.03344
997,2.39926,8.04085
998,2.39389,8.04825
999,2.38852,8.05564
1000,2.38315,8.06304
1001,2.37777,8.07042
1002,2.37238,8.07781
1003,2.36699,8.08519
1004,2.36160,8.09257
1005,2.35620,8.09995
1006,2.35080,8.10732
1007,2.34539,8.11469
1008,2.33998,8.12206
1009,2.33456,8.12942
1010,2.32914,8.13678
1011,2.32371,8.14413
1012,2.31828,8.15149
1013,2.31285,8.15883
1014,2.30741,8.16618
1015,2.30196,8.17352
1016,2.29651,8.18086
1017,2.29106,8.18819
1018,2.28560,8.19552
1019,2.28013,8.20285
1020,2.27466,8.21018
1021,2.26919,8.21750
1022,2.26371,8.22481
1023,2.25823,8.23213
1024,2.25274,8.23943
1025,2.24725,8.24674
1026,2.24175,8.25404
1027,2.23625,8.26134
1028,2.23074,8.26864
1029,2.22523,8.27593
1030,2.21971,8.28322
1031,2.21419,8.29050
1032,2.20866,8.29778
1033,2.20313,8.30506
1034,2.19759,8.31233
1035,2.19205,8.31960
1036,2.18650,8.32686
1037,2.18095,8.33412
1038,2.17540,8.34138
1039,2.16983,8.34864
1040,2.16427,8.35589
1041,2.15870,8.36313
1042,2.15312,8.37037
1043,2.14754,8.37761
1044,2.14195,8.38485
1045,2.13636,8.39208
1046,2.13077,8.39931
1047,2.12516,8.40653
1048,2.11956,8.41375
1049,2.11395,8.42096
1050,2.10833,8.42818
1051,2.10271,8.43538
1052,2.09708,8.44259
1053,2.09145,8.44979
1054,2.08582,8.45698
1055,2.08017,8.46417
1056,2.07453,8.47136
1057,2.06888,8.47855
1058,2.06322,8.48573
1059,2.05756,8.49290
1060,2.05189,8.50007
1061,2.04622,8.50724
1062,2.04054,8.51440
1063,2.03486,8.52156
1064,2.02917,8.52872
1065,2.02348,8.53587
1066,2.01778,8.54302
1067,2.01208,8.55016
1068,2.00637,8.55730
1069,2.00066,8.56444
1070,1.99494,8.57157
1071,1.98922,8.57869
1072,1.98349,8.58582
1073,1.97775,8.59293
