run,t,K_over_K0,eps_n,Pi_n,r_eps,r
new,8.4,0.90296024,0.006906743,-0.0029566926,-0.060992094,-0.058035402
new,8.75,0.89319539,0.0070665034,-0.0029961464,-0.064651934,-0.061655787
new,9.1,0.88287908,0.0072169121,-0.0034395363,-0.06892271,-0.065483174
new,9.45,0.87187629,0.0073568476,-0.0047292004,-0.073743425,-0.069014225
new,9.8,0.860171,0.0074851299,-0.005914779,-0.07810274,-0.072187961
new,10.15,0.84791169,0.0076015526,-0.006387136,-0.081512686,-0.07512555
new,10.5,0.83521901,0.0077047368,-0.0062153913,-0.084212527,-0.077997135
new,10.85,0.82217485,0.0077939269,-0.0059611876,-0.086570418,-0.080609231
new,11.2,0.808797,0.0078690533,-0.0061333057,-0.088801202,-0.082667897
new,11.55,0.79510718,0.007930553,-0.0062358418,-0.090683073,-0.084447231
new,11.9,0.78118518,0.0079791778,-0.0062021647,-0.092071365,-0.0858692
new,12.25,0.76709303,0.0080143764,-0.0059256047,-0.092892788,-0.086967183
new,12.6,0.75293117,0.0080363334,-0.0054040159,-0.093214367,-0.087810351
new,12.95,0.73874283,0.0080454996,-0.0052803983,-0.093556133,-0.088275734
new,13.3,0.72448272,0.0080415158,-0.005518773,-0.094064183,-0.08854541
new,13.65,0.71015324,0.0080245334,-0.0057174034,-0.094253492,-0.088536089
new,14,0.69584487,0.0079948413,-0.0052804977,-0.093567851,-0.088287353
new,14.35,0.68171568,0.007953653,-0.0042905473,-0.092142855,-0.087852308
new,14.7,0.66781785,0.0079018104,-0.003840493,-0.090813875,-0.086973382
new,15.05,0.65407529,0.0078394254,-0.0041153847,-0.089870426,-0.085755042
new,15.4,0.64045909,0.0077668533,-0.004473257,-0.088823334,-0.084350077
new,15.75,0.62703004,0.0076849036,-0.0044919802,-0.087182729,-0.082690749
new,16.1,0.61389615,0.0075952327,-0.0039240921,-0.084927895,-0.081003803
new,16.45,0.60112356,0.0074997385,-0.0032913699,-0.082613794,-0.079322424
new,16.8,0.58866436,0.0073991649,-0.0032737946,-0.080717839,-0.077444044
new,17.15,0.5764508,0.0072938294,-0.0036516578,-0.0790207,-0.075369042
new,17.5,0.56449629,0.0071846277,-0.0038761566,-0.077065697,-0.073189541
new,17.85,0.55286071,0.0070729418,-0.0037386241,-0.074732887,-0.070994263
new,18.2,0.54159066,0.006960398,-0.003324794,-0.072213396,-0.068888602
new,18.55,0.53069205,0.0068486309,-0.0030023973,-0.069816686,-0.066814289
new,18.9,0.52012437,0.0067387399,-0.0030187091,-0.067711143,-0.064692433
new,19.25,0.50984608,0.0066314678,-0.0032949579,-0.065737355,-0.062442397
new,19.6,0.4998611,0.0065273636,-0.0034279978,-0.063635256,-0.060207258
new,19.95,0.49020055,0.0064272963,-0.0034290923,-0.061453773,-0.05802468
new,20.3,0.4808544,0.0063318191,-0.0034360621,-0.059364214,-0.055928152
new,20.65,0.47180566,0.0062412827,-0.0032752225,-0.057309961,-0.054034738
new,21,0.46306006,0.006155951,-0.0029600736,-0.055244677,-0.052284603
new,21.35,0.45461348,0.0060755865,-0.0026641472,-0.053300268,-0.050636121
new,21.7,0.44643482,0.0059995795,-0.0026174726,-0.051708119,-0.049090646
new,22.05,0.43845533,0.0059269622,-0.0029973763,-0.050595624,-0.047598248
new,22.4,0.43060849,0.005856648,-0.0034483705,-0.049725656,-0.046277285
new,22.75,0.42289228,0.0057879868,-0.0034888913,-0.048710926,-0.045222035
new,23.1,0.4153488,0.0057205519,-0.0030597571,-0.047447172,-0.044387415
new,23.45,0.40800532,0.0056538055,-0.0025431915,-0.046239748,-0.043696557
new,23.8,0.4008186,0.0055866148,-0.0024851393,-0.04550386,-0.043018721
new,24.15,0.39369999,0.0055175022,-0.0028794815,-0.045238934,-0.042359453
new,24.5,0.3866068,0.0054455631,-0.0032351709,-0.045022075,-0.041786904
new,24.85,0.37956905,0.0053707121,-0.0032136137,-0.044527889,-0.041314276
new,25.004,0.37650535,0.0053369186,-0.0030833412,-0.044398425,-0.041315084
