x y z Ts
1.717711900e-02 1.313555210e-01 0.0 575.275985
1.751607100e-02 1.313815010e-01 0.0 575.121267
1.785194000e-02 1.313989310e-01 0.0 575.021885
1.818319300e-02 1.314080900e-01 0.0 574.943424
1.850644700e-02 1.314092310e-01 0.0 574.866886
1.883242400e-02 1.314024360e-01 0.0 574.789688
1.915425600e-02 1.313876550e-01 0.0 574.713407
1.947985000e-02 1.313646720e-01 0.0 574.636124
1.980865900e-02 1.313334300e-01 0.0 574.557921
2.013635500e-02 1.312940780e-01 0.0 574.479774
2.046457500e-02 1.312464870e-01 0.0 574.401249
2.079885600e-02 1.311897960e-01 0.0 574.385720
2.113202200e-02 1.311250000e-01 0.0 574.483376
2.146878200e-02 1.310510730e-01 0.0 574.582577
2.180743300e-02 1.309683350e-01 0.0 574.682880
2.215216100e-02 1.308753640e-01 0.0 574.785611
2.249331600e-02 1.307747330e-01 0.0 574.887950
2.284109300e-02 1.306633190e-01 0.0 574.993023
2.319530600e-02 1.305405970e-01 0.0 575.100882
2.354631800e-02 1.304099660e-01 0.0 575.208644
2.390349300e-02 1.302677310e-01 0.0 575.483024
2.426076000e-02 1.301160700e-01 0.0 575.832324
2.462272900e-02 1.299527970e-01 0.0 576.189691
2.498761700e-02 1.297783320e-01 0.0 576.553685
2.535431100e-02 1.295930870e-01 0.0 576.923417
2.572132200e-02 1.293975960e-01 0.0 577.297650
2.609275100e-02 1.291895780e-01 0.0 577.680778
2.646287200e-02 1.289719770e-01 0.0 578.067177
2.684018700e-02 1.287393590e-01 0.0 578.559938
2.721819500e-02 1.284953930e-01 0.0 579.063449
2.759735300e-02 1.282395630e-01 0.0 579.575348
2.797326000e-02 1.279749600e-01 0.0 580.089824
2.835148300e-02 1.276973190e-01 0.0 580.614922
2.873423400e-02 1.274045650e-01 0.0 581.154218
2.911250800e-02 1.271035430e-01 0.0 581.695257
2.949072100e-02 1.267906040e-01 0.0 582.294347
2.987195800e-02 1.264629100e-01 0.0 582.911337
3.024473600e-02 1.261300550e-01 0.0 583.524691
3.062014700e-02 1.257822180e-01 0.0 584.152809
3.099413600e-02 1.254226480e-01 0.0 584.789542
3.135984900e-02 1.250579750e-01 0.0 585.423399
3.172292700e-02 1.246830010e-01 0.0 586.062207
3.208621200e-02 1.242939600e-01 0.0 586.712842
3.245097000e-02 1.238896090e-01 0.0 587.378482
3.280800500e-02 1.234796450e-01 0.0 588.042995
3.316944400e-02 1.230501980e-01 0.0 588.729100
3.352571800e-02 1.226122440e-01 0.0 589.419192
3.388147400e-02 1.221600860e-01 0.0 589.941090
3.423920100e-02 1.216899020e-01 0.0 590.472789
3.458799000e-02 1.212162700e-01 0.0 591.002152
3.494344400e-02 1.207179230e-01 0.0 591.553045
3.529521300e-02 1.202087810e-01 0.0 592.109984
3.564802800e-02 1.196819450e-01 0.0 592.456400
3.600116900e-02 1.191382460e-01 0.0 592.718682
3.635759500e-02 1.185726540e-01 0.0 592.989141
3.670944500e-02 1.179978400e-01 0.0 593.261792
3.706345800e-02 1.174027560e-01 0.0 593.541917
3.742075500e-02 1.167854700e-01 0.0 593.754446
3.777572200e-02 1.161559230e-01 0.0 593.961203
3.813776200e-02 1.154972690e-01 0.0 594.176220
3.850203200e-02 1.148184890e-01 0.0 594.396600
3.886731000e-02 1.141222990e-01 0.0 594.433676
3.924423800e-02 1.133886380e-01 0.0 594.390025
3.962023200e-02 1.126428950e-01 0.0 594.345827
3.999808500e-02 1.118806440e-01 0.0 594.300803
4.033997900e-02 1.111815350e-01 0.0 594.160733
4.065055100e-02 1.105397580e-01 0.0 594.032402
4.103269300e-02 1.097410440e-01 0.0 593.873031
4.141072800e-02 1.089414140e-01 0.0 593.674959
4.179771600e-02 1.081128170e-01 0.0 593.178335
4.218656200e-02 1.072701940e-01 0.0 592.674376
4.257047700e-02 1.064280140e-01 0.0 592.171753
4.295276000e-02 1.055797300e-01 0.0 591.786266
4.330315900e-02 1.047935080e-01 0.0 591.472859
4.362161300e-02 1.040717560e-01 0.0 591.185625
4.395716400e-02 1.033041330e-01 0.0 590.869449
4.431331400e-02 1.024812750e-01 0.0 590.283130
4.463800800e-02 1.017238420e-01 0.0 589.744240
4.496838500e-02 1.009462540e-01 0.0 589.191770
4.530400500e-02 1.001493540e-01 0.0 588.509358
4.563857700e-02 9.934792100e-02 0.0 587.665541
4.598924800e-02 9.850049600e-02 0.0 586.774455
4.631280700e-02 9.771190300e-02 0.0 585.946257
4.666797500e-02 9.683899800e-02 0.0 584.961775
4.699755000e-02 9.602218500e-02 0.0 584.027920
4.733800700e-02 9.517139900e-02 0.0 583.056342
4.766767200e-02 9.434108300e-02 0.0 582.285992
4.795463900e-02 9.361325100e-02 0.0 581.874346
4.827252300e-02 9.280120100e-02 0.0 581.415509
4.861822500e-02 9.191147900e-02 0.0 580.913279
4.892232100e-02 9.112327800e-02 0.0 580.043916
4.924367900e-02 9.028488700e-02 0.0 579.028210
4.955580200e-02 8.946494200e-02 0.0 578.035725
4.985266500e-02 8.868030300e-02 0.0 577.100098
5.018765400e-02 8.778934900e-02 0.0 576.077913
5.050561200e-02 8.693824500e-02 0.0 575.102219
5.080728100e-02 8.612620500e-02 0.0 574.171943
5.111372000e-02 8.529671600e-02 0.0 573.378405
5.143529100e-02 8.442162600e-02 0.0 572.593543
5.175186100e-02 8.355530900e-02 0.0 571.817064
5.204321700e-02 8.275410200e-02 0.0 571.057513
5.236269100e-02 8.187155400e-02 0.0 570.135197
5.266929900e-02 8.102062000e-02 0.0 569.246393
5.297980700e-02 8.015506200e-02 0.0 568.342771
5.328627600e-02 7.929733700e-02 0.0 568.287276
5.360452300e-02 7.840310600e-02 0.0 568.309544
5.392315400e-02 7.750474600e-02 0.0 568.331906
5.421148300e-02 7.668895000e-02 0.0 568.352205
5.451005100e-02 7.584176500e-02 0.0 568.373278
5.481746500e-02 7.496694200e-02 0.0 568.395032
5.513466700e-02 7.406197700e-02 0.0 568.417529
5.541246400e-02 7.326762500e-02 0.0 568.095367
5.571661800e-02 7.239616800e-02 0.0 567.112597
5.602124200e-02 7.152179900e-02 0.0 566.126733
5.632829500e-02 7.063916600e-02 0.0 565.131710
5.661493300e-02 6.981406000e-02 0.0 564.157495
5.691117400e-02 6.896013900e-02 0.0 562.733540
5.718495800e-02 6.816978000e-02 0.0 561.415787
5.749988600e-02 6.725921300e-02 0.0 559.897868
5.779058800e-02 6.641743400e-02 0.0 558.494844
5.809946100e-02 6.552158900e-02 0.0 558.733041
5.838022400e-02 6.470578900e-02 0.0 558.993578
5.866961300e-02 6.386357500e-02 0.0 559.262504
5.894489000e-02 6.306111000e-02 0.0 559.518694
5.924559100e-02 6.218299300e-02 0.0 560.170589
5.953616100e-02 6.133292900e-02 0.0 560.924257
5.984181500e-02 6.043693400e-02 0.0 561.718480
6.013501500e-02 5.957572900e-02 0.0 562.481706
6.044170900e-02 5.867296100e-02 0.0 562.287951
6.073667800e-02 5.780295900e-02 0.0 561.347726
6.102883100e-02 5.693961200e-02 0.0 560.414877
6.133008300e-02 5.604707500e-02 0.0 559.450743
6.160196400e-02 5.523998300e-02 0.0 557.708362
6.189167100e-02 5.437817800e-02 0.0 554.949699
6.218161400e-02 5.351370300e-02 0.0 552.183128
6.245329400e-02 5.270170100e-02 0.0 549.585126
6.275905100e-02 5.178569800e-02 0.0 547.865856
6.302557700e-02 5.098520600e-02 0.0 548.948006
6.330550000e-02 5.014280100e-02 0.0 550.086590
6.360933000e-02 4.922575000e-02 0.0 551.325703
6.390463700e-02 4.833216300e-02 0.0 552.532809
6.416942000e-02 4.752898200e-02 0.0 556.614837
6.442996000e-02 4.673666100e-02 0.0 560.644737
6.472174800e-02 4.584675900e-02 0.0 565.169688
6.501784700e-02 4.494127300e-02 0.0 569.772680
6.528940600e-02 4.410841400e-02 0.0 571.643109
6.556959900e-02 4.324658700e-02 0.0 572.891810
6.584736400e-02 4.238989200e-02 0.0 574.132752
6.613058200e-02 4.151362100e-02 0.0 575.401670
6.641328600e-02 4.063635000e-02 0.0 575.128377
6.670072200e-02 3.974174500e-02 0.0 573.191810
6.697972000e-02 3.887051700e-02 0.0 571.306431
6.723847000e-02 3.806019000e-02 0.0 569.553312
6.750957200e-02 3.720864600e-02 0.0 568.840071
6.778311500e-02 3.634682300e-02 0.0 570.757844
6.805565800e-02 3.548553700e-02 0.0 572.673891
6.832673100e-02 3.462632700e-02 0.0 574.584800
6.860731900e-02 3.373414600e-02 0.0 577.606106
6.887884400e-02 3.286791000e-02 0.0 583.409582
6.916366100e-02 3.195660400e-02 0.0 589.513416
6.943479900e-02 3.108629700e-02 0.0 595.340996
6.969843400e-02 3.023735000e-02 0.0 600.755733
6.998862200e-02 2.929989300e-02 0.0 603.512478
7.025193200e-02 2.844654300e-02 0.0 606.021194
7.052983600e-02 2.754288800e-02 0.0 608.677031
7.078953000e-02 2.669589800e-02 0.0 610.793697
7.105008200e-02 2.584326100e-02 0.0 607.412262
7.130641700e-02 2.500177700e-02 0.0 604.075954
7.156149200e-02 2.416178500e-02 0.0 600.746450
7.183523300e-02 2.325762600e-02 0.0 597.163507
7.210579700e-02 2.236075300e-02 0.0 596.003900
7.236719700e-02 2.149159300e-02 0.0 596.003900
7.263885500e-02 2.058522200e-02 0.0 596.003900
7.289676200e-02 1.972201900e-02 0.0 596.003900
7.315551300e-02 1.885307900e-02 0.0 596.003900
7.340305300e-02 1.801905700e-02 0.0 596.003900
7.365265000e-02 1.717538000e-02 0.0 596.003900
7.390523400e-02 1.631896700e-02 0.0 596.003900
7.417244400e-02 1.540984500e-02 0.0 596.003900
7.441988500e-02 1.456500200e-02 0.0 596.003900
7.466086600e-02 1.373991700e-02 0.0 596.003900
7.490891900e-02 1.288737800e-02 0.0 596.003900
7.515993700e-02 1.202206200e-02 0.0 596.003900
7.540784400e-02 1.116341800e-02 0.0 596.003900
7.566873400e-02 1.025268900e-02 0.0 596.003900
7.589794700e-02 9.444042000e-03 0.0 596.003900
7.612659900e-02 8.626796000e-03 0.0 596.003900
7.636706700e-02 7.752606000e-03 0.0 596.003900
7.659927400e-02 6.890971000e-03 0.0 596.003900
