"Time_Iter","Outer_Iter","Inner_Iter",    "bgs[P][0]"   ,    "bgs[U][0]"   ,    "bgs[V][0]"   ,    "bgs[h][0]"   ,      "HF[0]"     ,    "maxHF[0]"    ,     "Temp[0]"    ,    "bgs[T][1]"   ,      "HF[1]"     ,   "AvgTemp[1]"   
          0,          76,           0,               -32,               -32,               -32,      0.2872209302,                 0,                 0,                 0,      -1.542440596,                 0,                 0
          0,          77,           0,               -32,               -32,               -32,      0.2126586068,                 0,                 0,                 0,      -1.552093074,                 0,                 0
          0,          78,           0,               -32,               -32,               -32,      0.1383402086,                 0,                 0,                 0,      -1.561605431,                 0,                 0
          0,          79,           0,               -32,               -32,               -32,      0.0751940223,                 0,                 0,                 0,      -1.570976682,                 0,                 0
          0,          80,           0,               -32,               -32,               -32,      0.0409610325,                 0,                 0,                 0,      -1.580205961,                 0,                 0
          0,          81,           0,               -32,               -32,               -32,     0.04840647317,                 0,                 0,                 0,      -1.589292524,                 0,                 0
          0,          82,           0,               -32,               -32,               -32,      0.0907159219,                 0,                 0,                 0,      -1.598235765,                 0,                 0
          0,          83,           0,               -32,               -32,               -32,      0.1498100399,                 0,                 0,                 0,      -1.607035216,                 0,                 0
          0,          84,           0,               -32,               -32,               -32,       0.212033419,                 0,                 0,                 0,      -1.615690557,                 0,                 0
          0,          85,           0,               -32,               -32,               -32,      0.2710687011,                 0,                 0,                 0,      -1.624201621,                 0,                 0
          0,          86,           0,               -32,               -32,               -32,      0.3248779543,                 0,                 0,                 0,      -1.632568398,                 0,                 0
          0,          87,           0,               -32,               -32,               -32,       0.373238187,                 0,                 0,                 0,      -1.640791036,                 0,                 0
          0,          88,           0,               -32,               -32,               -32,      0.4165666531,                 0,                 0,                 0,      -1.648869845,                 0,                 0
          0,          89,           0,               -32,               -32,               -32,      0.4554473428,                 0,                 0,                 0,      -1.656805297,                 0,                 0
          0,          90,           0,               -32,               -32,               -32,      0.4904570477,                 0,                 0,                 0,      -1.664598025,                 0,                 0
          0,          91,           0,               -32,               -32,               -32,      0.5221097858,                 0,                 0,                 0,      -1.672248822,                 0,                 0
          0,          92,           0,               -32,               -32,               -32,       0.550845973,                 0,                 0,                 0,       -1.67975864,                 0,                 0
          0,          93,           0,               -32,               -32,               -32,      0.5770373403,                 0,                 0,                 0,      -1.687128583,                 0,                 0
          0,          94,           0,               -32,               -32,               -32,      0.6009963732,                 0,                 0,                 0,      -1.694359906,                 0,                 0
          0,          95,           0,               -32,               -32,               -32,      0.6229860831,                 0,                 0,                 0,       -1.70145401,                 0,                 0
          0,          96,           0,               -32,               -32,               -32,      0.6432287064,                 0,                 0,                 0,      -1.708412433,                 0,                 0
          0,          97,           0,               -32,               -32,               -32,      0.6619130042,                 0,                 0,                 0,      -1.715236848,                 0,                 0
          0,          98,           0,               -32,               -32,               -32,        0.67920023,                 0,                 0,                 0,      -1.721929053,                 0,                 0
          0,          99,           0,               -32,               -32,               -32,      0.6952289561,                 0,                 0,                 0,      -1.728490961,                 0,                 0
          0,         100,           0,               -32,               -32,               -32,      0.7101189632,                 0,                 0,                 0,        -1.7349246,                 0,                 0
          0,         101,           0,               -32,               -32,               -32,      0.7239743781,                 0,                 0,                 0,      -1.741232096,                 0,                 0
          0,         102,           0,               -32,               -32,               -32,      0.7368862125,                 0,                 0,                 0,       -1.74741567,                 0,                 0
          0,         103,           0,               -32,               -32,               -32,      0.7489344267,                 0,                 0,                 0,      -1.753477627,                 0,                 0
          0,         104,           0,               -32,               -32,               -32,      0.7601896147,                 0,                 0,                 0,      -1.759420346,                 0,                 0
          0,         105,           0,               -32,               -32,               -32,      0.7707143891,                 0,                 0,                 0,      -1.765246276,                 0,                 0
          0,         106,           0,               -32,               -32,               -32,      0.7805645241,                 0,                 0,                 0,      -1.770957921,                 0,                 0
          0,         107,           0,               -32,               -32,               -32,      0.7897899056,                 0,                 0,                 0,      -1.776557836,                 0,                 0
          0,         108,           0,               -32,               -32,               -32,      0.7984353238,                 0,                 0,                 0,      -1.782048615,                 0,                 0
          0,         109,           0,               -32,               -32,               -32,      0.8065411388,                 0,                 0,                 0,      -1.787432886,                 0,                 0
          0,         110,           0,               -32,               -32,               -32,       0.814143843,                 0,                 0,                 0,      -1.792713301,                 0,                 0
          0,         111,           0,               -32,               -32,               -32,      0.8212765367,                 0,                 0,                 0,      -1.797892527,                 0,                 0
          0,         112,           0,               -32,               -32,               -32,      0.8279693339,                 0,                 0,                 0,      -1.802973243,                 0,                 0
          0,         113,           0,               -32,               -32,               -32,      0.8342497101,                 0,                 0,                 0,      -1.807958127,                 0,                 0
          0,         114,           0,               -32,               -32,               -32,      0.8401428004,                 0,                 0,                 0,      -1.812849856,                 0,                 0
          0,         115,           0,               -32,               -32,               -32,      0.8456716571,                 0,                 0,                 0,      -1.817651092,                 0,                 0
          0,         116,           0,               -32,               -32,               -32,      0.8508574731,                 0,                 0,                 0,      -1.822364484,                 0,                 0
          0,         117,           0,               -32,               -32,               -32,      0.8557197758,                 0,                 0,                 0,      -1.826992657,                 0,                 0
          0,         118,           0,               -32,               -32,               -32,       0.860276597,                 0,                 0,                 0,      -1.831538212,                 0,                 0
          0,         119,           0,               -32,               -32,               -32,      0.8645446209,                 0,                 0,                 0,      -1.836003714,                 0,                 0
          0,         120,           0,               -32,               -32,               -32,      0.8685393149,                 0,                 0,                 0,      -1.840391697,                 0,                 0
          0,         121,           0,               -32,               -32,               -32,      0.8722750445,                 0,                 0,                 0,      -1.844704652,                 0,                 0
          0,         122,           0,               -32,               -32,               -32,      0.8757651748,                 0,                 0,                 0,      -1.848945032,                 0,                 0
          0,         123,           0,               -32,               -32,               -32,      0.8790221612,                 0,                 0,                 0,      -1.853115239,                 0,                 0
          0,         124,           0,               -32,               -32,               -32,      0.8820576291,                 0,                 0,                 0,      -1.857217632,                 0,                 0
          0,         125,           0,               -32,               -32,               -32,      0.8848824456,                 0,                 0,                 0,      -1.861254517,                 0,                 0
          0,         126,           0,               -32,               -32,               -32,      0.8875067837,                 0,                 0,                 0,      -1.865228149,                 0,                 0
          0,         127,           0,               -32,               -32,               -32,      0.8899401792,                 0,                 0,                 0,       -1.86914073,                 0,                 0
          0,         128,           0,               -32,               -32,               -32,      0.8921915823,                 0,                 0,                 0,      -1.872994406,                 0,                 0
          0,         129,           0,               -32,               -32,               -32,      0.8942694043,                 0,                 0,                 0,       -1.87679127,                 0,                 0
          0,         130,           0,               -32,               -32,               -32,      0.8961815589,                 0,                 0,                 0,      -1.880533355,                 0,                 0
          0,         131,           0,               -32,               -32,               -32,         0.8979355,                 0,                 0,                 0,      -1.884222642,                 0,                 0
          0,         132,           0,               -32,               -32,               -32,      0.8995382567,                 0,                 0,                 0,       -1.88786105,                 0,                 0
          0,         133,           0,               -32,               -32,               -32,      0.9009964634,                 0,                 0,                 0,      -1.891450445,                 0,                 0
          0,         134,           0,               -32,               -32,               -32,      0.9023163889,                 0,                 0,                 0,      -1.894992636,                 0,                 0
          0,         135,           0,               -32,               -32,               -32,      0.9035039616,                 0,                 0,                 0,      -1.898489374,                 0,                 0
          0,         136,           0,               -32,               -32,               -32,      0.9045647933,                 0,                 0,                 0,      -1.901942354,                 0,                 0
          0,         137,           0,               -32,               -32,               -32,      0.9055042008,                 0,                 0,                 0,      -1.905353219,                 0,                 0
          0,         138,           0,               -32,               -32,               -32,      0.9063272254,                 0,                 0,                 0,      -1.908723554,                 0,                 0
          0,         139,           0,               -32,               -32,               -32,      0.9070386509,                 0,                 0,                 0,      -1.912054893,                 0,                 0
          0,         140,           0,               -32,               -32,               -32,      0.9076430206,                 0,                 0,                 0,      -1.915348715,                 0,                 0
          0,         141,           0,               -32,               -32,               -32,      0.9081446521,                 0,                 0,                 0,       -1.91860645,                 0,                 0
          0,         142,           0,               -32,               -32,               -32,      0.9085476516,                 0,                 0,                 0,      -1.921829476,                 0,                 0
          0,         143,           0,               -32,               -32,               -32,      0.9088559271,                 0,                 0,                 0,      -1.925019122,                 0,                 0
          0,         144,           0,               -32,               -32,               -32,      0.9090731999,                 0,                 0,                 0,       -1.92817667,                 0,                 0
          0,         145,           0,               -32,               -32,               -32,      0.9092030161,                 0,                 0,                 0,      -1.931303352,                 0,                 0
          0,         146,           0,               -32,               -32,               -32,      0.9092487567,                 0,                 0,                 0,      -1.934400358,                 0,                 0
          0,         147,           0,               -32,               -32,               -32,      0.9092136472,                 0,                 0,                 0,      -1.937468832,                 0,                 0
          0,         148,           0,               -32,               -32,               -32,      0.9091007666,                 0,                 0,                 0,      -1.940509875,                 0,                 0
          0,         149,           0,               -32,               -32,               -32,      0.9089130553,                 0,                 0,                 0,      -1.943524546,                 0,                 0
          0,         150,           0,               -32,               -32,               -32,       0.908653323,                 0,                 0,                 0,      -1.946513864,                 0,                 0
          0,         151,           0,               -32,               -32,               -32,      0.9083242557,                 0,                 0,                 0,      -1.949478809,                 0,                 0
          0,         152,           0,               -32,               -32,               -32,      0.9079284226,                 0,                 0,                 0,      -1.952420321,                 0,                 0
          0,         153,           0,               -32,               -32,               -32,       0.907468282,                 0,                 0,                 0,      -1.955339308,                 0,                 0
          0,         154,           0,               -32,               -32,               -32,      0.9069461874,                 0,                 0,                 0,      -1.958236637,                 0,                 0
          0,         155,           0,               -32,               -32,               -32,      0.9063643927,                 0,                 0,                 0,      -1.961113145,                 0,                 0
          0,         156,           0,               -32,               -32,               -32,      0.9057250574,                 0,                 0,                 0,      -1.963969634,                 0,                 0
          0,         157,           0,               -32,               -32,               -32,      0.9050302514,                 0,                 0,                 0,      -1.966806876,                 0,                 0
          0,         158,           0,               -32,               -32,               -32,      0.9042819595,                 0,                 0,                 0,       -1.96962561,                 0,                 0
          0,         159,           0,               -32,               -32,               -32,      0.9034820854,                 0,                 0,                 0,      -1.972426547,                 0,                 0
          0,         160,           0,               -32,               -32,               -32,      0.9026324559,                 0,                 0,                 0,       -1.97521037,                 0,                 0
          0,         161,           0,               -32,               -32,               -32,      0.9017348244,                 0,                 0,                 0,      -1.977977734,                 0,                 0
          0,         162,           0,               -32,               -32,               -32,      0.9007908746,                 0,                 0,                 0,      -1.980729268,                 0,                 0
          0,         163,           0,               -32,               -32,               -32,      0.8998022237,                 0,                 0,                 0,      -1.983465576,                 0,                 0
          0,         164,           0,               -32,               -32,               -32,      0.8987704255,                 0,                 0,                 0,      -1.986187237,                 0,                 0
          0,         165,           0,               -32,               -32,               -32,      0.8976969731,                 0,                 0,                 0,      -1.988894808,                 0,                 0
          0,         166,           0,               -32,               -32,               -32,      0.8965833023,                 0,                 0,                 0,      -1.991588822,                 0,                 0
          0,         167,           0,               -32,               -32,               -32,      0.8954307934,                 0,                 0,                 0,      -1.994269792,                 0,                 0
          0,         168,           0,               -32,               -32,               -32,      0.8942407743,                 0,                 0,                 0,       -1.99693821,                 0,                 0
          0,         169,           0,               -32,               -32,               -32,      0.8930145227,                 0,                 0,                 0,      -1.999594548,                 0,                 0
          0,         170,           0,               -32,               -32,               -32,       0.891753268,                 0,                 0,                 0,      -2.002239259,                 0,                 0
          0,         171,           0,               -32,               -32,               -32,      0.8904581936,                 0,                 0,                 0,      -2.004872778,                 0,                 0
          0,         172,           0,               -32,               -32,               -32,      0.8891304393,                 0,                 0,                 0,      -2.007495523,                 0,                 0
          0,         173,           0,               -32,               -32,               -32,      0.8877711022,                 0,                 0,                 0,      -2.010107895,                 0,                 0
          0,         174,           0,               -32,               -32,               -32,      0.8863812396,                 0,                 0,                 0,      -2.012710279,                 0,                 0
          0,         175,           0,               -32,               -32,               -32,      0.8849618699,                 0,                 0,                 0,      -2.015303043,                 0,                 0
          0,         176,           0,               -32,               -32,               -32,      0.8835139745,                 0,                 0,                 0,      -2.017886543,                 0,                 0
          0,         177,           0,               -32,               -32,               -32,      0.8820384995,                 0,                 0,                 0,      -2.020461119,                 0,                 0
          0,         178,           0,               -32,               -32,               -32,      0.8805363567,                 0,                 0,                 0,      -2.023027099,                 0,                 0
          0,         179,           0,               -32,               -32,               -32,      0.8790084254,                 0,                 0,                 0,      -2.025584796,                 0,                 0
          0,         180,           0,               -32,               -32,               -32,      0.8774555536,                 0,                 0,                 0,      -2.028134513,                 0,                 0
          0,         181,           0,               -32,               -32,               -32,      0.8758785594,                 0,                 0,                 0,      -2.030676538,                 0,                 0
          0,         182,           0,               -32,               -32,               -32,      0.8742782316,                 0,                 0,                 0,      -2.033211151,                 0,                 0
          0,         183,           0,               -32,               -32,               -32,      0.8726553318,                 0,                 0,                 0,      -2.035738619,                 0,                 0
          0,         184,           0,               -32,               -32,               -32,      0.8710105945,                 0,                 0,                 0,      -2.038259199,                 0,                 0
          0,         185,           0,               -32,               -32,               -32,       0.869344729,                 0,                 0,                 0,      -2.040773138,                 0,                 0
          0,         186,           0,               -32,               -32,               -32,      0.8676584198,                 0,                 0,                 0,      -2.043280673,                 0,                 0
          0,         187,           0,               -32,               -32,               -32,      0.8659523277,                 0,                 0,                 0,      -2.045782033,                 0,                 0
          0,         188,           0,               -32,               -32,               -32,      0.8642270909,                 0,                 0,                 0,      -2.048277436,                 0,                 0
          0,         189,           0,               -32,               -32,               -32,      0.8624833257,                 0,                 0,                 0,      -2.050767093,                 0,                 0
          0,         190,           0,               -32,               -32,               -32,      0.8607216274,                 0,                 0,                 0,      -2.053251208,                 0,                 0
          0,         191,           0,               -32,               -32,               -32,      0.8589425708,                 0,                 0,                 0,      -2.055729975,                 0,                 0
          0,         192,           0,               -32,               -32,               -32,      0.8571467114,                 0,                 0,                 0,      -2.058203582,                 0,                 0
          0,         193,           0,               -32,               -32,               -32,       0.855334586,                 0,                 0,                 0,      -2.060672208,                 0,                 0
          0,         194,           0,               -32,               -32,               -32,      0.8535067132,                 0,                 0,                 0,      -2.063136029,                 0,                 0
          0,         195,           0,               -32,               -32,               -32,       0.851663594,                 0,                 0,                 0,      -2.065595209,                 0,                 0
          0,         196,           0,               -32,               -32,               -32,      0.8498057131,                 0,                 0,                 0,      -2.068049911,                 0,                 0
