x_m,r_m,x_over_rt,r_over_rt,theta_rad,M_wall  (非粘性設計壁 = 逆 MOC; r_t 0.07702 m)
7.021438995933435567e-01,2.614599646840806146e-01,9.116384050809445583e+00,3.394702216100760950e+00,2.565923663795982579e-01,3.694717508738761591e+00
7.374537266198225582e-01,2.706437209259593968e-01,9.574834155022363902e+00,3.513940806621129287e+00,2.523439482622964469e-01,3.747363028312926225e+00
7.721923203851545070e-01,2.795240006360203422e-01,1.002586757186645627e+01,3.629239166917947568e+00,2.482273473250679596e-01,3.796515817108379043e+00
8.064126181992266051e-01,2.881242976006742063e-01,1.047017162034830662e+01,3.740902331870607611e+00,2.442450617280911007e-01,3.842663274539596774e+00
8.401951676559444859e-01,2.964739739639879468e-01,1.090879210147941336e+01,3.849311529005296162e+00,2.403854796162101515e-01,3.886246826925101150e+00
8.736426801072735282e-01,3.046058797570126431e-01,1.134306258254055422e+01,3.954893271319301906e+00,2.366294980857286956e-01,3.927670336337595991e+00
9.068751685719815825e-01,3.125547795908507065e-01,1.177454126943626989e+01,4.058098930029221840e+00,2.329542725231333045e-01,3.967304481976167807e+00
9.400249639083082531e-01,3.203561799891562756e-01,1.220494629847193124e+01,4.159389509077593416e+00,2.293358506411201092e-01,4.005488525348645190e+00
9.732293584305711232e-01,3.280444188183331278e-01,1.263606022371554261e+01,4.259210838981213776e+00,2.257510400227126512e-01,4.042525542392721327e+00
1.006619477733472712e+00,3.356500027815548792e-01,1.306958553276386148e+01,4.357959007810372043e+00,2.221795529196516905e-01,4.078671990106225387e+00
1.040299653210030817e+00,3.431949747629683412e-01,1.350687682692847069e+01,4.455920212450900308e+00,2.186073410404778261e-01,4.114116625038289676e+00
1.074314239815746808e+00,3.506876085989080183e-01,1.394850999501099409e+01,4.553201877420254284e+00,2.150324995555866203e-01,4.148953574119183862e+00
1.108656132876564948e+00,3.581234412445648552e-01,1.439439279247682180e+01,4.649746056148595486e+00,2.114605948738109142e-01,4.183199260958493149e+00
1.143318908031137671e+00,3.654996567249901851e-01,1.484444180772705302e+01,4.745516187029215516e+00,2.078972789752590866e-01,4.216873992288229900e+00
1.178293317818621011e+00,3.728121023518103927e-01,1.529853697505350496e+01,4.840458353048693318e+00,2.043472503257910133e-01,4.249989801718492721e+00
1.213571677964717876e+00,3.800578404448530234e-01,1.575657852460033403e+01,4.934534412423435157e+00,2.008147866317806507e-01,4.282561990829020893e+00
1.249146103777216243e+00,3.872340915643242565e-01,1.621846408435752096e+01,5.027708277906053347e+00,1.973036219863491814e-01,4.314603929346116473e+00
1.285006944138137763e+00,3.943373712576087597e-01,1.668406834767771585e+01,5.119934708616057151e+00,1.938169801228480371e-01,4.346125195481904235e+00
1.321146632375751251e+00,4.013656176280169796e-01,1.715329307161453087e+01,5.211186933627849349e+00,1.903577770516514667e-01,4.377138818267585663e+00
1.357556694648689444e+00,4.083164902133814000e-01,1.762602823485704207e+01,5.301434565221778250e+00,1.869285276868112300e-01,4.407655302805669528e+00
1.394228345099315813e+00,4.151877248371756424e-01,1.810215976498722057e+01,5.390648206143541898e+00,1.835314344167174316e-01,4.437684185558496530e+00
1.431152077219554730e+00,4.219769012373433825e-01,1.858156423292073001e+01,5.478796432580412379e+00,1.801684218671537607e-01,4.467233469199000773e+00
1.468319685310027101e+00,4.286824895248825817e-01,1.906413509880585622e+01,5.565859381003408934e+00,1.768411704351730840e-01,4.496312919993648016e+00
1.505722322608954888e+00,4.353028155928611587e-01,1.954975749946708419e+01,5.651815315409778329e+00,1.735511274983599916e-01,4.524930755581486608e+00
1.543351007836367472e+00,4.418363215101562824e-01,2.003831482519303364e+01,5.736644008181722043e+00,1.702995407712497578e-01,4.553094633647584821e+00
1.581196691185251080e+00,4.482815928569398589e-01,2.052968957654181992e+01,5.820327095000517481e+00,1.670874780242557756e-01,4.580812022570534658e+00
1.619250319797291393e+00,4.546373723010441181e-01,2.102376421445457311e+01,5.902848251117165823e+00,1.639158418460444910e-01,4.608089805132802752e+00
1.657502749985525714e+00,4.609025225841560935e-01,2.152042002058589532e+01,5.984192710778447832e+00,1.607853908826800127e-01,4.634934754993915718e+00
1.695944925913486223e+00,4.670760791894681407e-01,2.201953941720963570e+01,6.064347951044768870e+00,1.576967479717164833e-01,4.661353365274253591e+00
1.734567682924445631e+00,4.731571756448216814e-01,2.252100341371651027e+01,6.143302721953020296e+00,1.546504195254911340e-01,4.687351849849306085e+00
1.773361921362716975e+00,4.791450913176033000e-01,2.302469386344737501e+01,6.221047667068336118e+00,1.516468015822622362e-01,4.712936152088659902e+00
1.812318512621943434e+00,4.850392179524781189e-01,2.353049224385800287e+01,6.297574889022047095e+00,1.486861950307263036e-01,4.738112037098464846e+00
1.851428377980898432e+00,4.908390700943197071e-01,2.403828068009475771e+01,6.372878084839258328e+00,1.457688099955218308e-01,4.762885289885214313e+00
1.890681490258127928e+00,4.965438529110253740e-01,2.454792898283728775e+01,6.446946934705600540e+00,1.428948062926493900e-01,4.787260343586436484e+00
1.930069519004472101e+00,5.021536148014749124e-01,2.505932899252755064e+01,6.519782067014735283e+00,1.400642238834469699e-01,4.811243459453226734e+00
1.969583527897900810e+00,5.076682196296423699e-01,2.557236468317191225e+01,6.591381714225426514e+00,1.372770563421694678e-01,4.834839597717109250e+00
2.009214557120354794e+00,5.130875980701368189e-01,2.608691972371273238e+01,6.661744976241713800e+00,1.345332420508271731e-01,4.858053851098574683e+00
2.048952052663850054e+00,5.184110779648843925e-01,2.660285708470332366e+01,6.730863126004730468e+00,1.318327127416056843e-01,4.880889966956710957e+00
2.088788675140408557e+00,5.236394203934994218e-01,2.712008147416785775e+01,6.798746045098667423e+00,1.291752612764701658e-01,4.903354032981250832e+00
2.128715031280296266e+00,5.287725750098063449e-01,2.763847093326793214e+01,6.865393079846874969e+00,1.265607007903525871e-01,4.925450387533049756e+00
2.168721451670342137e+00,5.338104388512663334e-01,2.815789991781799628e+01,6.930802893420751509e+00,1.239888153032386031e-01,4.947183149664635238e+00
2.208800568768483963e+00,5.387538911469271774e-01,2.867827277029971356e+01,6.994986901414271152e+00,1.214592894363346470e-01,4.968557579835964688e+00
2.248941629445458723e+00,5.436025006230296164e-01,2.919944987594726626e+01,7.057939504323936575e+00,1.189718773708807742e-01,4.989577114630838750e+00
2.289137940234267088e+00,5.483574829281272489e-01,2.972134432919068914e+01,7.119676485693680057e+00,1.165261923660047549e-01,5.010247139698090990e+00
2.329379217710280336e+00,5.530186766113706076e-01,3.024382261374033121e+01,7.180195749303694974e+00,1.141219276142953487e-01,5.030570969223253641e+00
2.369657962557483177e+00,5.575870226202335189e-01,3.076678736117220225e+01,7.239509512077817455e+00,1.117586767061236608e-01,5.050553888183551443e+00
2.409965878052753308e+00,5.620631861496474535e-01,3.129013084981502502e+01,7.297626410667974461e+00,1.094360423744171334e-01,5.070199594494009254e+00
