x_m,r_m,x_over_rt,r_over_rt  (物理壁 = run_0038_ns_final_rt77p02 のメッシュ壁線; r_t 0.07702 m; 入口直管〜出口 x_F 7.3249 m; 出口半径 0.7750 m)
-2.025439217686653137e-02,7.837966829538345337e-02,-2.629757523536682129e-01,1.017653465270996094e+00
-1.789071597158908844e-02,7.810701429843902588e-02,-2.322866320610046387e-01,1.014113426208496094e+00
-1.553716044872999191e-02,7.786820828914642334e-02,-2.017289102077484131e-01,1.011012911796569824e+00
-1.319197937846183777e-02,7.766307890415191650e-02,-1.712799221277236938e-01,1.008349537849426270e+00
-1.085390988737344742e-02,7.749155908823013306e-02,-1.409232765436172485e-01,1.006122589111328125e+00
-8.521799929440021515e-03,7.735366374254226685e-02,-1.106439903378486633e-01,1.004332184791564941e+00
-6.194366142153739929e-03,7.724948227405548096e-02,-8.042542636394500732e-02,1.002979516983032227e+00
-3.870220156386494637e-03,7.717914134263992310e-02,-5.024955049157142639e-02,1.002066254615783691e+00
-1.548145897686481476e-03,7.714287191629409790e-02,-2.010057121515274048e-02,1.001595377922058105e+00
7.730739889666438103e-04,7.714107632637023926e-02,1.003731507807970047e-02,1.001572012901306152e+00
3.094726474955677986e-03,7.717470824718475342e-02,4.018081724643707275e-02,1.002008676528930664e+00
5.418045446276664734e-03,7.724190503358840942e-02,7.034596055746078491e-02,1.002881169319152832e+00
7.744246628135442734e-03,7.734188437461853027e-02,1.005485206842422485e-01,1.004179239273071289e+00
1.007461082190275192e-02,7.747426629066467285e-02,1.308051347732543945e-01,1.005898118019104004e+00
1.241058669984340668e-02,7.763848453760147095e-02,1.611346006393432617e-01,1.008030176162719727e+00
1.475325413048267365e-02,7.783399522304534912e-02,1.915509551763534546e-01,1.010568618774414062e+00
1.710387133061885834e-02,7.806013524532318115e-02,2.220705300569534302e-01,1.013504743576049805e+00
1.946396566927433014e-02,7.831597328186035156e-02,2.527131438255310059e-01,1.016826510429382324e+00
2.183501236140727997e-02,7.860078662633895874e-02,2.834979593753814697e-01,1.020524382591247559e+00
2.421804890036582947e-02,7.891366630792617798e-02,3.144384622573852539e-01,1.024586677551269531e+00
2.661448903381824493e-02,7.925336062908172607e-02,3.455529808998107910e-01,1.028997182846069336e+00
2.902656607329845428e-02,7.961917668581008911e-02,3.768705129623413086e-01,1.033746838569641113e+00
3.145495057106018066e-02,8.001012355089187622e-02,4.083997905254364014e-01,1.038822770118713379e+00
3.390128538012504578e-02,8.042519539594650269e-02,4.401621222496032715e-01,1.044211864471435547e+00
3.636807948350906372e-02,8.086351305246353149e-02,4.721900820732116699e-01,1.049902796745300293e+00
3.885585814714431763e-02,8.132404834032058716e-02,5.044904947280883789e-01,1.055882215499877930e+00
4.136729985475540161e-02,8.180621266365051270e-02,5.370981693267822266e-01,1.062142491340637207e+00
4.390381649136543274e-02,8.230927586555480957e-02,5.700314044952392578e-01,1.068674087524414062e+00
4.646730422973632812e-02,8.283254504203796387e-02,6.033148169517517090e-01,1.075468063354492188e+00
4.906020686030387878e-02,8.337555825710296631e-02,6.369801163673400879e-01,1.082518339157104492e+00
5.168414488434791565e-02,8.393783122301101685e-02,6.710484027862548828e-01,1.089818716049194336e+00
5.434168875217437744e-02,8.451916277408599854e-02,7.055529952049255371e-01,1.097366452217102051e+00
5.703534558415412903e-02,8.511938899755477905e-02,7.405264377593994141e-01,1.105159640312194824e+00
5.976658314466476440e-02,8.573816716670989990e-02,7.759878635406494141e-01,1.113193631172180176e+00
6.254000216722488403e-02,8.637595176696777344e-02,8.119969367980957031e-01,1.121474385261535645e+00
6.535681337118148804e-02,8.703245222568511963e-02,8.485693931579589844e-01,1.129998087882995605e+00
6.821999698877334595e-02,8.770781010389328003e-02,8.857439756393432617e-01,1.138766765594482422e+00
7.113289088010787964e-02,8.840236812829971313e-02,9.235639572143554688e-01,1.147784590721130371e+00
7.409989088773727417e-02,8.911672979593276978e-02,9.620863795280456543e-01,1.157059669494628906e+00
7.712344825267791748e-02,8.985113352537155151e-02,1.001343131065368652e+00,1.166594862937927246e+00
8.020738512277603149e-02,9.060616046190261841e-02,1.041383862495422363e+00,1.176397919654846191e+00
8.335566520690917969e-02,9.138257056474685669e-02,1.082260012626647949e+00,1.186478495597839355e+00
8.657244592905044556e-02,9.218118339776992798e-02,1.124025583267211914e+00,1.196847438812255859e+00
8.986258506774902344e-02,9.300296753644943237e-02,1.166743516921997070e+00,1.207517147064208984e+00
9.323125332593917847e-02,9.384918957948684692e-02,1.210481166839599609e+00,1.218504190444946289e+00
