# c3x vane — 平滑化輪郭 (周期スプライン, s=0.05*m)
# 入力: vane_c3x_profile.csv (表の点 + 復元円弧)
# 検査: 表点からの max 0.01040 cm / 折れ角 max 3.78° / R_LE 1.179 R_TE 0.188 cm
i,x_cm,y_cm
439,3.76896,11.63101
440,3.77385,11.62228
441,3.77872,11.61353
442,3.78358,11.60478
443,3.78842,11.59603
444,3.79325,11.58727
445,3.79807,11.57850
446,3.80288,11.56972
447,3.80768,11.56094
448,3.81246,11.55215
449,3.81724,11.54335
450,3.82200,11.53455
451,3.82675,11.52574
452,3.83149,11.51693
453,3.83621,11.50811
454,3.84093,11.49928
455,3.84564,11.49045
456,3.85033,11.48161
457,3.85502,11.47277
458,3.85969,11.46392
459,3.86435,11.45506
460,3.86901,11.44620
461,3.87365,11.43734
462,3.87828,11.42847
463,3.88291,11.41959
464,3.88752,11.41071
465,3.89212,11.40183
466,3.89672,11.39294
467,3.90131,11.38404
468,3.90588,11.37514
469,3.91045,11.36624
470,3.91501,11.35733
471,3.91956,11.34842
472,3.92410,11.33950
473,3.92864,11.33058
474,3.93316,11.32166
475,3.93768,11.31273
476,3.94219,11.30379
477,3.94669,11.29485
478,3.95119,11.28591
479,3.95568,11.27697
480,3.96016,11.26802
481,3.96463,11.25907
482,3.96909,11.25011
483,3.97355,11.24115
484,3.97800,11.23219
485,3.98245,11.22322
486,3.98689,11.21426
487,3.99132,11.20528
488,3.99575,11.19631
489,4.00017,11.18733
490,4.00458,11.17835
491,4.00899,11.16937
492,4.01340,11.16038
493,4.01779,11.15139
494,4.02219,11.14240
495,4.02657,11.13340
496,4.03096,11.12441
497,4.03533,11.11541
498,4.03971,11.10641
499,4.04407,11.09740
500,4.04844,11.08840
501,4.05279,11.07939
502,4.05715,11.07038
503,4.06149,11.06136
504,4.06584,11.05235
505,4.07018,11.04333
506,4.07451,11.03431
507,4.07884,11.02528
508,4.08316,11.01626
509,4.08748,11.00723
510,4.09179,10.99820
511,4.09610,10.98917
512,4.10040,10.98013
513,4.10470,10.97110
514,4.10900,10.96206
515,4.11329,10.95302
516,4.11757,10.94397
517,4.12185,10.93493
518,4.12613,10.92588
519,4.13040,10.91683
520,4.13466,10.90778
521,4.13892,10.89872
522,4.14318,10.88966
523,4.14743,10.88060
524,4.15168,10.87154
525,4.15592,10.86248
526,4.16016,10.85341
527,4.16439,10.84434
528,4.16862,10.83527
529,4.17284,10.82620
530,4.17706,10.81713
531,4.18127,10.80805
532,4.18548,10.79897
533,4.18969,10.78989
534,4.19389,10.78081
535,4.19809,10.77172
536,4.20228,10.76264
537,4.20647,10.75355
538,4.21065,10.74446
539,4.21483,10.73536
540,4.21900,10.72627
541,4.22317,10.71717
542,4.22733,10.70807
543,4.23149,10.69897
544,4.23565,10.68986
545,4.23980,10.68076
546,4.24395,10.67165
547,4.24809,10.66254
548,4.25223,10.65343
549,4.25636,10.64432
550,4.26049,10.63520
551,4.26462,10.62608
552,4.26874,10.61696
553,4.27286,10.60784
554,4.27697,10.59872
555,4.28108,10.58959
556,4.28518,10.58047
557,4.28928,10.57134
558,4.29338,10.56221
559,4.29747,10.55307
560,4.30156,10.54394
561,4.30564,10.53480
562,4.30972,10.52567
563,4.31379,10.51653
564,4.31787,10.50738
565,4.32193,10.49824
566,4.32599,10.48909
567,4.33005,10.47995
568,4.33411,10.47080
569,4.33816,10.46165
570,4.34220,10.45249
571,4.34625,10.44334
572,4.35028,10.43418
573,4.35432,10.42502
574,4.35835,10.41586
575,4.36237,10.40670
576,4.36640,10.39754
577,4.37041,10.38837
578,4.37443,10.37921
579,4.37844,10.37004
580,4.38245,10.36087
581,4.38645,10.35170
582,4.39045,10.34252
583,4.39444,10.33335
584,4.39843,10.32417
585,4.40242,10.31499
586,4.40640,10.30581
587,4.41038,10.29663
588,4.41436,10.28744
589,4.41833,10.27826
590,4.42230,10.26907
591,4.42626,10.25988
592,4.43023,10.25069
593,4.43418,10.24150
594,4.43814,10.23231
595,4.44209,10.22311
596,4.44603,10.21392
597,4.44998,10.20472
598,4.45391,10.19552
599,4.45785,10.18632
600,4.46178,10.17712
601,4.46571,10.16791
602,4.46963,10.15871
603,4.47356,10.14950
604,4.47747,10.14029
605,4.48139,10.13108
606,4.48530,10.12187
607,4.48920,10.11266
608,4.49311,10.10344
609,4.49701,10.09422
610,4.50091,10.08501
611,4.50480,10.07579
612,4.50869,10.06657
613,4.51257,10.05735
614,4.51646,10.04812
615,4.52034,10.03890
616,4.52421,10.02967
617,4.52809,10.02044
618,4.53196,10.01122
619,4.53582,10.00199
620,4.53969,9.99275
621,4.54355,9.98352
622,4.54740,9.97429
623,4.55126,9.96505
624,4.55511,9.95581
625,4.55895,9.94658
626,4.56280,9.93734
627,4.56664,9.92809
628,4.57048,9.91885
629,4.57431,9.90961
630,4.57814,9.90036
631,4.58197,9.89112
632,4.58579,9.88187
633,4.58961,9.87262
634,4.59343,9.86337
635,4.59725,9.85412
636,4.60106,9.84486
637,4.60487,9.83561
638,4.60867,9.82636
639,4.61248,9.81710
640,4.61628,9.80784
641,4.62007,9.79858
642,4.62386,9.78932
643,4.62766,9.78006
644,4.63144,9.77080
645,4.63523,9.76153
646,4.63901,9.75227
647,4.64279,9.74300
648,4.64656,9.73373
649,4.65033,9.72446
650,4.65410,9.71519
651,4.65787,9.70592
652,4.66163,9.69665
653,4.66539,9.68737
654,4.66915,9.67810
655,4.67290,9.66882
656,4.67665,9.65954
657,4.68040,9.65026
658,4.68414,9.64098
659,4.68789,9.63170
660,4.69163,9.62242
661,4.69536,9.61314
662,4.69910,9.60385
663,4.70283,9.59456
664,4.70655,9.58528
665,4.71028,9.57599
666,4.71400,9.56670
667,4.71772,9.55741
668,4.72144,9.54812
669,4.72515,9.53882
670,4.72886,9.52953
671,4.73257,9.52023
672,4.73627,9.51094
673,4.73997,9.50164
674,4.74367,9.49234
675,4.74737,9.48304
676,4.75106,9.47374
677,4.75476,9.46444
678,4.75844,9.45514
679,4.76213,9.44583
680,4.76581,9.43653
681,4.76949,9.42722
682,4.77317,9.41792
683,4.77684,9.40861
684,4.78052,9.39930
685,4.78418,9.38999
686,4.78785,9.38068
687,4.79151,9.37136
688,4.79518,9.36205
689,4.79883,9.35273
690,4.80249,9.34342
691,4.80614,9.33410
692,4.80979,9.32478
693,4.81344,9.31547
694,4.81709,9.30615
695,4.82073,9.29682
696,4.82437,9.28750
697,4.82801,9.27818
698,4.83164,9.26886
699,4.83527,9.25953
700,4.83890,9.25021
701,4.84253,9.24088
702,4.84616,9.23155
703,4.84978,9.22222
704,4.85340,9.21289
705,4.85702,9.20356
706,4.86063,9.19423
707,4.86424,9.18490
708,4.86785,9.17556
709,4.87146,9.16623
710,4.87506,9.15689
711,4.87867,9.14756
712,4.88227,9.13822
713,4.88586,9.12888
714,4.88946,9.11954
715,4.89305,9.11020
716,4.89664,9.10086
717,4.90023,9.09152
718,4.90382,9.08218
719,4.90740,9.07283
720,4.91098,9.06349
721,4.91456,9.05414
722,4.91813,9.04479
723,4.92171,9.03545
724,4.92528,9.02610
725,4.92885,9.01675
726,4.93241,9.00740
727,4.93598,8.99805
728,4.93954,8.98870
729,4.94310,8.97934
730,4.94666,8.96999
731,4.95021,8.96063
732,4.95376,8.95128
733,4.95732,8.94192
734,4.96086,8.93257
735,4.96441,8.92321
736,4.96795,8.91385
737,4.97150,8.90449
738,4.97503,8.89513
739,4.97857,8.88577
740,4.98211,8.87640
741,4.98564,8.86704
742,4.98917,8.85768
743,4.99270,8.84831
744,4.99623,8.83895
745,4.99975,8.82958
746,5.00327,8.82021
747,5.00679,8.81085
748,5.01031,8.80148
749,5.01383,8.79211
750,5.01734,8.78274
751,5.02085,8.77337
752,5.02436,8.76400
753,5.02787,8.75462
754,5.03137,8.74525
755,5.03488,8.73588
756,5.03838,8.72650
757,5.04188,8.71713
758,5.04538,8.70775
759,5.04887,8.69837
760,5.05236,8.68899
761,5.05586,8.67962
762,5.05934,8.67024
763,5.06283,8.66086
764,5.06632,8.65148
765,5.06980,8.64209
766,5.07328,8.63271
767,5.07676,8.62333
768,5.08024,8.61394
769,5.08371,8.60456
770,5.08719,8.59518
771,5.09066,8.58579
772,5.09413,8.57640
773,5.09760,8.56702
774,5.10106,8.55763
775,5.10453,8.54824
776,5.10799,8.53885
777,5.11145,8.52946
778,5.11491,8.52007
779,5.11837,8.51068
780,5.12182,8.50129
781,5.12528,8.49189
782,5.12873,8.48250
783,5.13218,8.47311
784,5.13563,8.46371
785,5.13907,8.45432
786,5.14252,8.44492
787,5.14596,8.43552
788,5.14940,8.42613
789,5.15284,8.41673
790,5.15628,8.40733
791,5.15971,8.39793
792,5.16315,8.38853
793,5.16658,8.37913
794,5.17001,8.36973
795,5.17344,8.36033
796,5.17686,8.35093
797,5.18029,8.34152
798,5.18371,8.33212
799,5.18714,8.32272
800,5.19056,8.31331
801,5.19398,8.30391
802,5.19739,8.29450
803,5.20081,8.28509
804,5.20422,8.27569
805,5.20764,8.26628
806,5.21105,8.25687
807,5.21446,8.24746
808,5.21787,8.23805
809,5.22127,8.22864
810,5.22468,8.21923
811,5.22808,8.20982
812,5.23148,8.20041
813,5.23488,8.19100
814,5.23828,8.18159
815,5.24168,8.17217
816,5.24507,8.16276
817,5.24847,8.15335
818,5.25186,8.14393
819,5.25525,8.13452
820,5.25864,8.12510
821,5.26203,8.11568
822,5.26542,8.10627
823,5.26880,8.09685
824,5.27219,8.08743
825,5.27557,8.07801
826,5.27895,8.06860
827,5.28233,8.05918
828,5.28571,8.04976
829,5.28909,8.04034
830,5.29246,8.03092
831,5.29584,8.02149
832,5.29921,8.01207
833,5.30258,8.00265
834,5.30595,7.99323
835,5.30932,7.98380
836,5.31269,7.97438
837,5.31606,7.96496
838,5.31942,7.95553
839,5.32279,7.94611
840,5.32615,7.93668
841,5.32951,7.92726
842,5.33287,7.91783
843,5.33623,7.90840
844,5.33959,7.89898
845,5.34295,7.88955
846,5.34630,7.88012
847,5.34966,7.87069
848,5.35301,7.86126
849,5.35636,7.85183
850,5.35971,7.84240
851,5.36306,7.83297
852,5.36641,7.82354
853,5.36976,7.81411
854,5.37311,7.80468
855,5.37645,7.79525
856,5.37979,7.78582
857,5.38314,7.77639
858,5.38648,7.76695
859,5.38982,7.75752
860,5.39316,7.74809
861,5.39650,7.73865
862,5.39984,7.72922
863,5.40317,7.71978
864,5.40651,7.71035
865,5.40984,7.70091
866,5.41317,7.69148
867,5.41651,7.68204
868,5.41984,7.67260
869,5.42317,7.66317
870,5.42650,7.65373
871,5.42983,7.64429
872,5.43315,7.63485
873,5.43648,7.62541
