x_mm,contour_wall
-2.599067613482475281e+01,9.811565594845098603e-01
-2.556177228689193726e+01,9.805008226468596710e-01
-2.513286657631397247e+01,9.798074583121719749e-01
-2.470396272838115692e+01,9.790854600474013791e-01
-2.427505888044834137e+01,9.783211391146098279e-01
-2.384615316987037659e+01,9.775207116556627884e-01
-2.341724932193756104e+01,9.766683066700524440e-01
-2.298834547400474548e+01,9.757713306246825757e-01
-2.255943976342678070e+01,9.748151689732520442e-01
-2.213053591549396515e+01,9.738051120492635659e-01
-2.170163206756114960e+01,9.727292566023362230e-01
-2.127272821962833405e+01,9.715766913196207666e-01
-2.084871754050254822e+01,9.703578646097850147e-01
-2.042467519640922546e+01,9.690483748095479744e-01
-2.000056765973567963e+01,9.676475606272219032e-01
-1.957635954022407532e+01,9.661509914084983608e-01
-1.915201917290687561e+01,9.645588655408836587e-01
-1.872751675546169281e+01,9.628498894320297596e-01
-1.830281503498554230e+01,9.610289566404266459e-01
-1.787788607180118561e+01,9.590807913280853247e-01
-1.745269633829593658e+01,9.569967305738953378e-01
-1.702721416950225830e+01,9.547638130607754015e-01
-1.660140790045261383e+01,9.523729790926019900e-01
-1.617524959146976471e+01,9.498152351024208295e-01
-1.574870757758617401e+01,9.470701471770780477e-01
-1.532175298780202866e+01,9.441248862578296430e-01
-1.489435788244009018e+01,9.409647716692060015e-01
-1.446649339050054550e+01,9.375695017563907552e-01
-1.403813436627388000e+01,9.339249910064330029e-01
-1.360925380140542984e+01,9.300029361350939938e-01
-1.317982748150825500e+01,9.257842258125952295e-01
-1.274983212351799011e+01,9.212464422507194994e-01
-1.231924351304769516e+01,9.163637950736414073e-01
-1.188804302364587784e+01,9.111038809886575773e-01
-1.145620923489332199e+01,9.054407773616048871e-01
-1.102372538298368454e+01,8.993396341205349698e-01
-1.059057470411062241e+01,8.927673205518875665e-01
-1.015674322843551636e+01,8.856941446588793010e-01
-9.722218848764896393e+00,8.780711708566107943e-01
-9.286991320550441742e+00,8.698667894024039171e-01
-8.851052261888980865e+00,8.610380824657186682e-01
-8.414397947490215302e+00,8.515439177035720730e-01
-7.977025583386421204e+00,8.413387321186727164e-01
-7.538935169577598572e+00,8.303834433722702135e-01
-7.100129965692758560e+00,8.186352658921618453e-01
-6.660617422312498093e+00,8.060594818647367488e-01
-6.220407783985137939e+00,7.926340702767902258e-01
-5.779515951871871948e+00,7.782735261130862003e-01
-5.337957292795181274e+00,7.629814864779075334e-01
-4.895755555480718613e+00,7.467363271330624830e-01
-4.452937282621860504e+00,7.295257480531572858e-01
-4.009532742202281952e+00,7.113447234213644554e-01
-3.565576625987887383e+00,6.922008580920940846e-01
-3.121109679341316223e+00,6.721173634035889632e-01
-2.676176838576793671e+00,6.511286265236160276e-01
-2.230829093605279922e+00,6.292942959624174826e-01
-1.785122207365930080e+00,6.067302300237007451e-01
-1.339116366580128670e+00,5.838288391950228196e-01
-8.928785682655870914e-01,5.613717702513966179e-01
-4.464806988835334778e-01,5.413739459010495914e-01
0.000000000000000000e+00,5.275997690769426152e-01
4.259844718035310507e-01,5.201685037349754737e-01
8.519678958691656590e-01,5.137062621677670471e-01
1.277949311770498753e+00,5.058646983980870093e-01
1.703928108327090740e+00,4.974959198302861263e-01
2.129903528839349747e+00,4.894063716776705375e-01
2.555875340476632118e+00,4.819220376777552106e-01
2.981842961162328720e+00,4.749630337946504355e-01
3.407806623727083206e+00,4.683306418761638557e-01
3.833765862509608269e+00,4.618607954545454475e-01
4.259720910340547562e+00,4.554866379401557586e-01
4.685672000050544739e+00,4.492307524441340738e-01
5.111619364470243454e+00,4.431493487599458270e-01
5.537563003599643707e+00,4.372975455497714603e-01
5.963503383100032806e+00,4.316890976807177815e-01
6.389441434293985367e+00,4.263102833502623867e-01
6.815377157181501389e+00,4.211395775139664677e-01
7.241311017423868179e+00,4.161614067525816751e-01
7.667243480682373047e+00,4.113737541264601560e-01
8.093175478279590607e+00,4.067696760728796157e-01
8.519189432263374329e+00,4.023103878343490813e-01
8.945203386247158051e+00,3.979777038894531938e-01
9.371217340230941772e+00,3.937730460153208156e-01
9.797231294214725494e+00,3.897106319832402410e-01
