x_mm,contour_wall,center,center_T,center_g,contour_g
-1.403813436627388000e+01,9.349535640976807116e-01,9.320094935034705097e-01,2.809579772949218750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.360925380140542984e+01,9.310967125867615213e-01,9.282430405662772666e-01,2.806340332031250000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.317982748150825500e+01,9.269479007956661354e-01,9.242026806119857385e-01,2.802854614257812500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.274983212351799011e+01,9.224833222236329400e-01,9.198670539190790807e-01,2.799102783203125000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.231924351304769516e+01,9.176777155281868881e-01,9.152124862451328502e-01,2.795060729980468750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.188804302364587784e+01,9.125035048459454456e-01,9.102138485060098372e-01,2.790702514648437500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.145620923489332199e+01,9.069304691467749979e-01,9.048448212925342959e-01,2.786003112792968750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.102372538298368454e+01,9.009273954630100389e-01,8.990766384162857117e-01,2.780932312011718750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.059057470411062241e+01,8.944617482436092448e-01,8.928798723971559381e-01,2.775458679199218750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.015674322843551636e+01,8.874966935415609104e-01,8.862223183299474671e-01,2.769547729492187500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-9.722218848764896393e+00,8.799976458015913439e-01,8.790709116302691806e-01,2.763162841796875000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-9.286991320550441742e+00,8.719218855806669666e-01,8.713913973886914244e-01,2.756264953613281250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-8.851052261888980865e+00,8.632352902276959616e-01,8.631486610165904905e-01,2.748812561035156250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-8.414397947490215302e+00,8.539004967623159414e-01,8.543062653419671859e-01,2.740762939453125000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.977025583386421204e+00,8.438603695826984996e-01,8.448277731928220957e-01,2.732066040039062500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.538935169577598572e+00,8.330784053876756357e-01,8.346770780429998426e-01,2.722675781250000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.100129965692758560e+00,8.215244492762824313e-01,8.238194620788894529e-01,2.712541809082031250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.660617422312498093e+00,8.091535995429152139e-01,8.122215961994244671e-01,2.701610107421875000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.220407783985137939e+00,7.959306754697815789e-01,7.998535238911460565e-01,2.689830017089843750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.779515951871871948e+00,7.818251915100727922e-01,7.866895209073979656e-01,2.677147827148437500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.337957292795181274e+00,7.668117540629760809e-01,7.727092194641950185e-01,2.663512268066406250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.895755555480718613e+00,7.508742276113086200e-01,7.579000550194684438e-01,2.648875122070312500e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.452937282621860504e+00,7.340030895547655643e-01,7.422586549856102778e-01,2.633192443847656250e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.009532742202281952e+00,7.162044899060436842e-01,7.257930871212121549e-01,2.616425476074218750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.565576625987887383e+00,6.975045496868123029e-01,7.085272901853733041e-01,2.598548583984375000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.121109679341316223e+00,6.779505512527509437e-01,6.905045787836465720e-01,2.579554443359375000e+02,1.828319396370955811e-37,0.000000000000000000e+00
-2.676176838576793671e+00,6.576195350854917576e-01,6.717967030641611714e-01,2.559456176757812500e+02,9.527449872571945011e-36,0.000000000000000000e+00
-2.230829093605279922e+00,6.366385353182664186e-01,6.525183310055865382e-01,2.538319549560546875e+02,1.031039730840697912e-30,0.000000000000000000e+00
-1.785122207365930080e+00,6.152727299178940568e-01,6.328949630734721499e-01,2.516346130371093750e+02,1.199592814066800150e-26,0.000000000000000000e+00
