x_mm,contour_wall,contour_g
-1.403813436627388000e+01,9.339245942314203797e-01,0.000000000000000000e+00
-1.360925380140542984e+01,9.300024732309124520e-01,0.000000000000000000e+00
-1.317982748150825500e+01,9.257838290375824952e-01,0.000000000000000000e+00
-1.274983212351799011e+01,9.212462438632131878e-01,0.000000000000000000e+00
-1.231924351304769516e+01,9.163637950736414073e-01,0.000000000000000000e+00
-1.188804302364587784e+01,9.111035503428136506e-01,0.000000000000000000e+00
-1.145620923489332199e+01,9.054405789740985755e-01,0.000000000000000000e+00
-1.102372538298368454e+01,8.993393034746910430e-01,0.000000000000000000e+00
-1.059057470411062241e+01,8.927669899060436398e-01,0.000000000000000000e+00
-1.015674322843551636e+01,8.856937478838665667e-01,0.000000000000000000e+00
-9.722218848764896393e+00,8.780705095649229408e-01,0.000000000000000000e+00
-9.286991320550441742e+00,8.698665248857287979e-01,0.000000000000000000e+00
-8.851052261888980865e+00,8.610378179490435491e-01,0.000000000000000000e+00
-8.414397947490215302e+00,8.515436531868969539e-01,0.000000000000000000e+00
-7.977025583386421204e+00,8.413384014728289007e-01,0.000000000000000000e+00
-7.538935169577598572e+00,8.303829143389199752e-01,0.000000000000000000e+00
-7.100129965692758560e+00,8.186349352463179185e-01,0.000000000000000000e+00
-6.660617422312498093e+00,8.060589528313865104e-01,0.000000000000000000e+00
-6.220407783985137939e+00,7.926335412434399874e-01,0.000000000000000000e+00
-5.779515951871871948e+00,7.782732615964110812e-01,0.000000000000000000e+00
-5.337957292795181274e+00,7.629814203487388369e-01,0.000000000000000000e+00
-4.895755555480718613e+00,7.467363932622312905e-01,0.000000000000000000e+00
-4.452937282621860504e+00,7.295254835364821666e-01,0.000000000000000000e+00
-4.009532742202281952e+00,7.113447234213644554e-01,0.000000000000000000e+00
-3.565576625987887383e+00,6.922009242212628921e-01,3.842578319115820204e-36
-3.121109679341316223e+00,6.721172972744201557e-01,6.930615395317986319e-35
-2.676176838576793671e+00,6.511286265236160276e-01,2.167984581379746286e-29
-2.230829093605279922e+00,6.292940314457423634e-01,5.725343401954220116e-25
-1.785122207365930080e+00,6.067300316361943224e-01,2.111298340030083718e-21
-1.339116366580128670e+00,5.838285085491788928e-01,1.534813981052594716e-18
-8.928785682655870914e-01,5.613715718638903063e-01,2.815627778621736113e-16
-4.464806988835334778e-01,5.413738797718807838e-01,1.297848191628625178e-14
0.000000000000000000e+00,5.275998021415270189e-01,1.484108517503524016e-13
4.259844718035310507e-01,5.201683053474690510e-01,7.584012627973035769e-13
8.519678958691656590e-01,5.137062952323514509e-01,2.820698102173890831e-12
1.277949311770498753e+00,5.058645992043337980e-01,9.040518333947034080e-12
1.703928108327090740e+00,4.974958206365329150e-01,2.696599193940940609e-11
2.129903528839349747e+00,4.894064708714237488e-01,7.619933850566695810e-11
2.555875340476632118e+00,4.819221699360927702e-01,2.027039924801243842e-10
2.981842961162328720e+00,4.749632321821567471e-01,5.046134066155616438e-10
3.407806623727083206e+00,4.683308402636702228e-01,1.176551300829942193e-09
3.833765862509608269e+00,4.618608946482986033e-01,2.583925962085231731e-09
4.259720910340547562e+00,4.554866710047401623e-01,5.383413714810103556e-09
4.685672000050544739e+00,4.492309838962248447e-01,1.071172750499727044e-08
5.111619364470243454e+00,4.431497455349585057e-01,2.046628289065210993e-08
5.537563003599643707e+00,4.372982729706280658e-01,3.770405143654897984e-08
5.963503383100032806e+00,4.316902549411714696e-01,6.718108380709963967e-08
6.389441434293985367e+00,4.263121349669883320e-01,1.160666371902152605e-07
6.815377157181501389e+00,4.211424210682241376e-01,1.948563834730521194e-07
7.241311017423868179e+00,4.161655398256305927e-01,3.185259345173108159e-07
7.667243480682373047e+00,4.113802678495852572e-01,5.079354536974278744e-07
8.093175478279590607e+00,4.067795954481970289e-01,7.915796800261887256e-07
8.519189432263374329e+00,4.023254322202471367e-01,1.207500417876872234e-06
8.945203386247158051e+00,3.979999894193330112e-01,1.805601186788408086e-06
9.371217340230941772e+00,3.938050525330116791e-01,2.650392389114131220e-06
9.797231294214725494e+00,3.897562280451159489e-01,3.824122813966823742e-06
1.022324524819850922e+01,3.858518627264262979e-01,5.430061719380319118e-06
1.064925920218229294e+01,3.820980073958862300e-01,7.596339855808764696e-06
1.107527315616607666e+01,3.784856354219570118e-01,1.047957175615010783e-05
1.150128711014986038e+01,3.750121016378872296e-01,1.426923427061410621e-05
1.192730013281106949e+01,3.716600802014559113e-01,1.919120404636487365e-05
1.235331408679485321e+01,3.684170726997629819e-01,2.551197030697949231e-05
1.277932804077863693e+01,3.652748791158794694e-01,3.354220461915247142e-05
1.320534199476242065e+01,3.622203066806331528e-01,4.363954576547257602e-05
1.363135594874620438e+01,3.592583150816827664e-01,5.621261516353115439e-05
1.405736990272998810e+01,3.563881768981716491e-01,7.172163896029815078e-05
1.448338385671377182e+01,3.536226881242593434e-01,9.068150393432006240e-05
1.490939781069755554e+01,3.509639318287625098e-01,1.136593418777920306e-04
1.533541083335876465e+01,3.484208685140511297e-01,1.412747951690107584e-04
1.576142571866512299e+01,3.459956143135263229e-01,1.741936284815892577e-04
1.618743874132633209e+01,3.436889627772135025e-01,2.131217770511284471e-04
1.661345362663269043e+01,3.415027324572540990e-01,2.587969647720456123e-04
1.703946664929389954e+01,3.394315338263924064e-01,3.119711764156818390e-04
1.746547967195510864e+01,3.374787394722363332e-01,3.734058118425309658e-04
1.789149455726146698e+01,3.356429276176570164e-01,4.438446776475757360e-04
1.831750757992267609e+01,3.339289587565600348e-01,5.240036989562213421e-04
1.874352246522903442e+01,3.323429829016421033e-01,6.145521183498203754e-04
1.916953548789024353e+01,3.308875129613170762e-01,7.160881650634109974e-04
1.959555037319660187e+01,3.295668142669713752e-01,8.291268022730946541e-04
2.002156339585781097e+01,3.283877642521584317e-01,9.540796163491904736e-04
2.044757828116416931e+01,3.273523798565261544e-01,1.091245212592184544e-03
2.087359130382537842e+01,3.264565941361943224e-01,1.240782672539353371e-03
2.129960432648658752e+01,3.256998119286440008e-01,1.402716501615941525e-03
2.172561921179294586e+01,3.250729074085830228e-01,1.576912822201848030e-03
2.215163223445415497e+01,3.245722765363128759e-01,1.763092470355331898e-03
2.257764711976051331e+01,3.241900499407482372e-01,1.960824476554989815e-03
2.300366014242172241e+01,3.239064880650076028e-01,2.169509418308734894e-03
2.342967502772808075e+01,3.237232110737260915e-01,2.388425171375274658e-03
2.385568805038928986e+01,3.236357552480108590e-01,2.616737270727753639e-03
2.428170107305049896e+01,3.236527173798036117e-01,2.853477606549859047e-03
2.470771595835685730e+01,3.237207642944811004e-01,3.097574226558208466e-03
2.513372898101806641e+01,3.238449548734552152e-01,3.347870428115129471e-03
2.555974386632442474e+01,3.240190729748603227e-01,3.603163175284862518e-03
2.598575688898563385e+01,3.242354806797020372e-01,3.862196579575538635e-03
2.641177177429199219e+01,3.244814811875740834e-01,4.123700316995382309e-03
2.683778479695320129e+01,3.247410051104621664e-01,4.386391025036573410e-03
