x_mm,contour_wall,center,center_T,center_g,contour_g
-6.660617422312498093e+00,8.091535995429152139e-01,8.122217284577619711e-01,2.701611328125000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.220407783985137939e+00,7.959306093406128824e-01,7.998536561494836716e-01,2.689831237792968750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.779515951871871948e+00,7.818251253809039847e-01,7.866894547782292690e-01,2.677148132324218750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.337957292795181274e+00,7.668119524504825035e-01,7.727092194641950185e-01,2.663513183593750000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.895755555480718613e+00,7.508740953529710049e-01,7.578998566319621322e-01,2.648875732421875000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.452937282621860504e+00,7.340026927797528300e-01,7.422583904689351586e-01,2.633192138671875000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.009532742202281952e+00,7.162044899060436842e-01,7.257928887337057322e-01,2.616425476074218750e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.565576625987887383e+00,6.975044835576434954e-01,7.085273563145421116e-01,2.598549804687500000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.121109679341316223e+00,6.779506835110885588e-01,6.905043803961401494e-01,2.579554138183593750e+02,5.873846314724536373e-37,0.000000000000000000e+00
-2.676176838576793671e+00,6.576196012146605652e-01,6.717968353224986755e-01,2.559456787109375000e+02,9.976666215380976707e-35,0.000000000000000000e+00
-2.230829093605279922e+00,6.366384691890977221e-01,6.525182648764178417e-01,2.538320159912109375e+02,1.208001339944559755e-29,0.000000000000000000e+00
-1.785122207365930080e+00,6.152726637887252492e-01,6.328950292026409574e-01,2.516346588134765625e+02,1.482863135481943553e-25,0.000000000000000000e+00
-1.339116366580128670e+00,5.939491149272050352e-01,6.132099627560521071e-01,2.493735656738281250e+02,2.949988395324962505e-22,0.000000000000000000e+00
-8.928785682655870914e-01,5.735505808786185433e-01,5.938747196123244088e-01,2.471060638427734375e+02,1.254388379663695730e-19,0.000000000000000000e+00
-4.464806988835334778e-01,5.559555268114101390e-01,5.754569525562891474e-01,2.448984375000000000e+02,1.497768490524254234e-17,0.000000000000000000e+00
0.000000000000000000e+00,5.433970686262061811e-01,5.586463888183511584e-01,2.428399505615234375e+02,5.740410046178173742e-16,0.000000000000000000e+00
