x_mm,contour_wall
4.046743270009756088e+00,4.762981155832063385e-01
4.472696222364902496e+00,4.701835811854579439e-01
4.898645915091037750e+00,4.642601931500761614e-01
5.324591416865587234e+00,4.585288111562552671e-01
5.750533193349838257e+00,4.529971723167428577e-01
6.176472641527652740e+00,4.476817758591501439e-01
6.602409761399030685e+00,4.425849693689690167e-01
7.028344552963972092e+00,4.376957754041814752e-01
7.454277481883764267e+00,4.330127721876587121e-01
7.880209013819694519e+00,4.285307355150668740e-01
8.306181989610195160e+00,4.242455653779414471e-01
8.732195943593978882e+00,4.200980100410529605e-01
9.158210828900337219e+00,4.160772904498899472e-01
9.584223851561546326e+00,4.122172316742847564e-01
1.001023780554533005e+01,4.084893651070763410e-01
1.043625269085168839e+01,4.049176625719485556e-01
1.086226571351289749e+01,4.014744820763501143e-01
1.128827966749668121e+01,3.981319171110546673e-01
1.171429455280303955e+01,3.949024660889622340e-01
1.214030664414167404e+01,3.917627523489080610e-01
1.256632059812545776e+01,3.887194218723548089e-01
1.299233455210924149e+01,3.857532641357711012e-01
1.341834943741559982e+01,3.828430847405620563e-01
1.384436339139938354e+01,3.800131861562552893e-01
1.427037641406059265e+01,3.772507062595226168e-01
1.469639129936695099e+01,3.745446345437616342e-01
1.512240432202816010e+01,3.719090895865075352e-01
1.554841827601194382e+01,3.693389463771796222e-01
1.597443222999572754e+01,3.668104976087692704e-01
1.640044525265693665e+01,3.643453344548840400e-01
1.682646013796329498e+01,3.619113512040799119e-01
1.725247316062450409e+01,3.595337761342475291e-01
1.767848804593086243e+01,3.571940930781276613e-01
1.810450106859207153e+01,3.548982867254951712e-01
1.853051409125328064e+01,3.526443401367022057e-01
1.895652711391448975e+01,3.504398581661588019e-01
1.938254386186599731e+01,3.482763432156762984e-01
1.980855688452720642e+01,3.461384863826815761e-01
2.023456990718841553e+01,3.440356780091416988e-01
2.066058479249477386e+01,3.419692406784323735e-01
2.108659781515598297e+01,3.399309413090401133e-01
2.151261083781719208e+01,3.379234911968850286e-01
2.193862758576869965e+01,3.359557185859996520e-01
2.236464060842990875e+01,3.340157532905874138e-01
2.279065176844596863e+01,3.321139775901472690e-01
2.321666851639747620e+01,3.302313132194853451e-01
2.364268153905868530e+01,3.283793327831386333e-01
2.406869456171989441e+01,3.265358830095649312e-01
2.449470758438110352e+01,3.247357809061283129e-01
2.492072433233261108e+01,3.229448707571525579e-01
2.534673549234867096e+01,3.211867276113086200e-01
2.577275037765502930e+01,3.194467038577111784e-01
2.619876526296138763e+01,3.177420261448281602e-01
2.662477828562259674e+01,3.160583444430337119e-01
2.705079317092895508e+01,3.144002216649737780e-01
2.747680805623531342e+01,3.127558206894362480e-01
2.790281921625137329e+01,3.111364165396986459e-01
2.832883223891258240e+01,3.095274607986287507e-01
2.875484526157379150e+01,3.079403276832571312e-01
2.918086200952529907e+01,3.063644365265786318e-01
2.960687316954135895e+01,3.048179728500084451e-01
3.003288805484771729e+01,3.032804366112239469e-01
3.045890480279922485e+01,3.017702447837311563e-01
3.088491596281528473e+01,3.002843223611816326e-01
3.131093084812164307e+01,2.988095757681564213e-01
3.173694387078285217e+01,2.973582389008803117e-01
3.216295689344406128e+01,2.959210867403080925e-01
3.258896991610527039e+01,2.944969289614017272e-01
3.301498666405677795e+01,2.930840462057728302e-01
3.344099968671798706e+01,2.916832650880311628e-01
3.386701270937919617e+01,2.902994461020822481e-01
3.429302945733070374e+01,2.889263731060606188e-01
3.471904247999191284e+01,2.875736678940240543e-01
3.514505177736282349e+01,2.862316094781615083e-01
3.557106852531433105e+01,2.849101502983747980e-01
3.599708154797554016e+01,2.836027766315388776e-01
3.642309457063674927e+01,2.823102158985102417e-01
3.684911131858825684e+01,2.810317737430167440e-01
3.727512434124946594e+01,2.797662598400202927e-01
3.770113736391067505e+01,2.785115911207042272e-01
3.812715411186218262e+01,2.772712558987218689e-01
3.855316340923309326e+01,2.760340452799644462e-01
3.897918015718460083e+01,2.748101927533011524e-01
3.940519690513610840e+01,2.735953833904689603e-01
3.983120620250701904e+01,2.723951059124767315e-01
4.025722295045852661e+01,2.712029457899525764e-01
4.068323224782943726e+01,2.700284586877856885e-01
4.110924899578094482e+01,2.688635603150922870e-01
4.153526574373245239e+01,2.677132103595310508e-01
4.196128249168395996e+01,2.665700850156593749e-01
4.238728806376457214e+01,2.654469472130522867e-01
4.281330481171607971e+01,2.643234952968935292e-01
4.323931410908699036e+01,2.632164599468850286e-01
4.366533085703849792e+01,2.621174427585915012e-01
4.409134760499000549e+01,2.610277332508041392e-01
4.451735690236091614e+01,2.599461906953614565e-01
4.494337365031242371e+01,2.588730961412307185e-01
4.536939039826393127e+01,2.578061020029202566e-01
4.579539969563484192e+01,2.567508457920687492e-01
4.622141271829605103e+01,2.557002516876163978e-01
4.664742946624755859e+01,2.546642886617572210e-01
4.707343876361846924e+01,2.536342276642119531e-01
4.749945551156997681e+01,2.526157227389114746e-01
4.792547225952148438e+01,2.516072033180971612e-01
4.835148155689239502e+01,2.506093637580413258e-01
4.877749830484390259e+01,2.496213278472574904e-01
4.920351505279541016e+01,2.486376068647367654e-01
4.962952435016632080e+01,2.476619536408075084e-01
5.005554109811782837e+01,2.466947649504824813e-01
5.048155039548873901e+01,2.457366524885728765e-01
5.090756714344024658e+01,2.447811355965379965e-01
5.133358389139175415e+01,2.438373896965464749e-01
5.175959318876266479e+01,2.429031333322752562e-01
5.218560621142387390e+01,2.419667112377264229e-01
5.261162668466567993e+01,2.410454492551210304e-01
5.303763598203659058e+01,2.401265348580074455e-01
5.346364900469779968e+01,2.392166636247249067e-01
5.388966202735900879e+01,2.383155710385982673e-01
5.431567505002021790e+01,2.374203474162011052e-01
5.474169179797172546e+01,2.365334726013627875e-01
5.516770482063293457e+01,2.356539711888437361e-01
5.559371784329414368e+01,2.347792476087692537e-01
5.601973459124565125e+01,2.339138813060775424e-01
5.644574761390686035e+01,2.330558718734128953e-01
5.687175691127777100e+01,2.322023592242254963e-01
5.729777738451957703e+01,2.313566663492466480e-01
5.772379040718078613e+01,2.305170077609192403e-01
5.814979970455169678e+01,2.296810689383358695e-01
5.857582017779350281e+01,2.288527184378703339e-01
5.900183320045471191e+01,2.280294102865244588e-01
5.942784249782562256e+01,2.272129630364398134e-01
5.985385924577713013e+01,2.264098242815727191e-01
6.027987599372863770e+01,2.255946169534027435e-01
6.070588529109954834e+01,2.247952640934484381e-01
6.113190203905105591e+01,2.240056487535974361e-01
6.155791878700256348e+01,2.232127600198916539e-01
6.198392435908317566e+01,2.224349156720839549e-01
6.240994483232498169e+01,2.216535664783307880e-01
6.283595412969589233e+01,2.208820539984340525e-01
6.326197087764739990e+01,2.201160633041306935e-01
6.368798762559890747e+01,2.193558919766802062e-01
6.411399692296981812e+01,2.186005315462586640e-01
6.454001367092132568e+01,2.178508747566446635e-01
6.496602296829223633e+01,2.171060949932283601e-01
6.539203226566314697e+01,2.163666055633147178e-01
6.581805646419525146e+01,2.156318113043846352e-01
6.624406576156616211e+01,2.149025057664635252e-01
6.667007505893707275e+01,2.141776308828508557e-01
6.709609180688858032e+01,2.134579471389876359e-01
6.752210110425949097e+01,2.127466452672676367e-01
6.794811785221099854e+01,2.120347151684442155e-01
6.837413460016250610e+01,2.113309024250888679e-01
6.880014389753341675e+01,2.106262465348315571e-01
6.922616064548492432e+01,2.099320059886575218e-01
6.965217739343643188e+01,2.092413033530133859e-01
7.007818669080734253e+01,2.085516257194853507e-01
7.050420343875885010e+01,2.078680650340697378e-01
7.093022018671035767e+01,2.071890176644235748e-01
7.135622948408126831e+01,2.065149134501438888e-01
7.178225368261337280e+01,2.058459673110292765e-01
7.220826297998428345e+01,2.051814022293465267e-01
7.263427227735519409e+01,2.045203750581936764e-01
7.306028902530670166e+01,2.038636132184273031e-01
7.348630577325820923e+01,2.032086533985102417e-01
7.391231507062911987e+01,2.025641419872608873e-01
7.433833181858062744e+01,2.019180104113763308e-01
7.476434111595153809e+01,2.012770699752412518e-01
7.519035041332244873e+01,2.006406263225833653e-01
7.561637461185455322e+01,2.000077867096241857e-01
7.604238390922546387e+01,1.993791297665904738e-01
7.646839320659637451e+01,1.987541925893008266e-01
7.689441740512847900e+01,1.981338679215337850e-01
7.732042670249938965e+01,1.975159900330116791e-01
7.774643599987030029e+01,1.969028403800575644e-01
7.817244529724121094e+01,1.962919060542576699e-01
7.859846949577331543e+01,1.956873035963687113e-01
7.902447879314422607e+01,1.950853793698154870e-01
7.945048809051513672e+01,1.944877370069409139e-01
7.987651228904724121e+01,1.938938970712713594e-01
8.030252158641815186e+01,1.933008506856272180e-01
8.072853088378906250e+01,1.927135244730827923e-01
8.115455508232116699e+01,1.921286119751989263e-01
8.158056437969207764e+01,1.915495684410445099e-01
8.200657367706298828e+01,1.909727237017521673e-01
8.243259042501449585e+01,1.903984414677501180e-01
8.285860717296600342e+01,1.898299951328931701e-01
8.328461647033691406e+01,1.892597963750634882e-01
8.371064066886901855e+01,1.886959294851447422e-01
8.413664996623992920e+01,1.881351376015744092e-01
8.456265926361083984e+01,1.875776687087354067e-01
8.498868346214294434e+01,1.870209768336295875e-01
8.541469275951385498e+01,1.864733611869392182e-01
8.584069460630416870e+01,1.859244890860419774e-01
8.626671880483627319e+01,1.853817174009649571e-01
8.669273555278778076e+01,1.848422687066192671e-01
8.711873739957809448e+01,1.843026712216438157e-01
8.754476159811019897e+01,1.837687773774758782e-01
8.797077089548110962e+01,1.832333129655493442e-01
8.839678019285202026e+01,1.827050235684357649e-01
8.882280439138412476e+01,1.821789494984763780e-01
8.924881368875503540e+01,1.816537020431268079e-01
8.967482298612594604e+01,1.811331828233451735e-01
9.010084718465805054e+01,1.806151434473929340e-01
9.052685648202896118e+01,1.801041468279160340e-01
9.095286577939987183e+01,1.795990191721686113e-01
9.137888997793197632e+01,1.791045217803030332e-01
9.180489927530288696e+01,1.786221260263247124e-01
9.223090112209320068e+01,1.781393169650414832e-01
9.265692532062530518e+01,1.775933876121550681e-01
9.308294206857681274e+01,1.768198912571948556e-01
9.350894391536712646e+01,1.753135845183680375e-01
9.393496811389923096e+01,1.716034901652700173e-01
9.436098486185073853e+01,1.624111885263246902e-01
9.478698670864105225e+01,1.470569709401980674e-01
