x_mm,contour_wall,contour_g
-9.504605084657669067e+00,8.740190399102759633e-01,0.000000000000000000e+00
-9.069021791219711304e+00,8.655010078085322300e-01,0.000000000000000000e+00
-8.632725104689598083e+00,8.563382163111562528e-01,0.000000000000000000e+00
-8.195712231099605560e+00,8.464962782503808736e-01,0.000000000000000000e+00
-7.757980376482009888e+00,8.359172644743524394e-01,0.000000000000000000e+00
-7.319533266127109528e+00,8.245636136152022511e-01,0.000000000000000000e+00
-6.880374159663915634e+00,8.123977643050618314e-01,0.000000000000000000e+00
-6.440512835979461670e+00,7.993775922634163145e-01,0.000000000000000000e+00
-5.999961867928504944e+00,7.854683796766548376e-01,0.000000000000000000e+00
-5.558736622333526611e+00,7.706362684103605920e-01,0.000000000000000000e+00
-5.116856656968593597e+00,7.548596342263416137e-01,0.000000000000000000e+00
-4.674346186220645905e+00,7.381189028906381955e-01,0.000000000000000000e+00
-4.231235012412071228e+00,7.204030308320636955e-01,0.000000000000000000e+00
-3.787554800510406494e+00,7.017112906297613417e-01,0.000000000000000000e+00
-3.343343036249279976e+00,6.820594871550702543e-01,0.000000000000000000e+00
-2.898643258959054947e+00,6.614722204587777377e-01,0.000000000000000000e+00
-2.453503198921680450e+00,6.399857293253766732e-01,5.572587005005102986e-27
-2.007975475862622261e+00,6.176656138902996140e-01,5.222768481163508837e-23
-1.562119228765368462e+00,5.946799745005925120e-01,8.411086538578014126e-20
-1.115997438319027424e+00,5.715555961147791297e-01,3.164421123224480043e-17
-6.696796044707298279e-01,5.494798940875232907e-01,3.041647456228672650e-15
-2.232403494417667389e-01,5.316263080349584724e-01,7.232767580385782158e-14
2.129922359017655253e-01,5.225125182516505706e-01,4.448926578699829992e-13
6.389762274920940399e-01,5.170518690748264756e-01,1.756401989995437507e-12
1.064958632923662663e+00,5.096629594654646933e-01,5.700382006701421034e-12
1.490938826464116573e+00,5.012777147346368922e-01,1.707165311892744342e-11
1.916915876790881157e+00,4.929598225622143226e-01,4.880241696869624946e-11
2.342889318242669106e+00,4.852517074551379594e-01,1.325085596803887711e-10
2.768859034404158592e+00,4.781484427903335277e-01,3.375514034953397413e-10
3.194824792444705963e+00,4.714450612091586335e-01,8.048156585616084158e-10
3.620785893872380257e+00,4.649357026091924805e-01,1.802134996786719512e-09
4.046743270009756088e+00,4.585124111223971566e-01,3.817376637016423047e-09
4.472696222364902496e+00,4.521797827260030656e-01,7.701419058037117793e-09
4.898645915091037750e+00,4.459975651240054018e-01,1.489248813157928453e-08
5.324591416865587234e+00,4.400317552268495080e-01,2.772700646858083928e-08
5.750533193349838257e+00,4.343157482647705958e-01,4.985102108889805095e-08
6.176472641527652740e+00,4.288398232499576745e-01,8.680118668280556449e-08
6.602409761399030685e+00,4.235786196461824860e-01,1.466715104925242485e-07
7.028344552963972092e+00,4.185110422486033599e-01,2.409678074855037266e-07
7.454277481883764267e+00,4.136301805590824610e-01,3.857850572330789873e-07
7.880209013819694519e+00,4.089389773256306149e-01,6.026897949595877435e-07
8.306181989610195160e+00,4.044213631602336378e-01,9.207575430991710164e-07
8.732195943593978882e+00,4.000347508781953443e-01,1.377160288029699586e-06
9.158210828900337219e+00,3.957761316023362119e-01,2.019675093833939172e-06
9.584223851561546326e+00,3.916577061642965707e-01,2.908282112912274897e-06
1.001023780554533005e+01,3.876845003809040180e-01,4.117236130696255714e-06
1.043625269085168839e+01,3.838600521626883144e-01,5.737187166232615709e-06
1.086226571351289749e+01,3.801814187616387453e-01,7.877986718085594475e-06
1.128827966749668121e+01,3.766439711359403919e-01,1.066880940925329924e-05
1.171429455280303955e+01,3.732357729706280436e-01,1.426612561772344634e-05
1.214030664414167404e+01,3.699438629486203056e-01,1.885394885903224349e-05
1.256632059812545776e+01,3.667562386257829932e-01,2.464583121764007956e-05
1.299233455210924149e+01,3.636612612684103629e-01,3.190401184838265181e-05
1.341834943741559982e+01,3.606565171618418830e-01,4.092912058695219457e-05
1.384436339139938354e+01,3.577422046935838651e-01,5.209493610891513526e-05
1.427037641406059265e+01,3.549277142056035395e-01,6.583333015441894531e-05
1.469639129936695099e+01,3.522179723209751256e-01,8.266601071227341890e-05
1.512240432202816010e+01,3.496200879253428262e-01,1.032033324008807540e-04
1.554841827601194382e+01,3.471378303813272281e-01,1.281564618693664670e-04
1.597443222999572754e+01,3.447749029223802220e-01,1.583090925123542547e-04
1.640044525265693665e+01,3.425305119984763946e-01,1.945603726198896766e-04
1.682646013796329498e+01,3.404051205137971770e-01,2.378164499532431364e-04
1.725247316062450409e+01,3.383959841078381658e-01,2.890650066547095776e-04
1.767848804593086243e+01,3.365062108515320949e-01,3.492332471068948507e-04
1.810450106859207153e+01,3.347341805802437897e-01,4.192290070932358503e-04
1.853051409125328064e+01,3.330821416857118744e-01,4.999253433197736740e-04
1.895652711391448975e+01,3.315617329016420922e-01,5.920326802879571915e-04
1.938254386186599731e+01,3.301748719739292515e-01,6.962706684134900570e-04
1.980855688452720642e+01,3.289276758506856080e-01,8.131221984513103962e-04
2.023456990718841553e+01,3.278228558278313831e-01,9.430021746084094048e-04
2.066058479249477386e+01,3.268607425512104481e-01,1.086122938431799412e-03
2.108659781515598297e+01,3.260371368186050223e-01,1.242582919076085091e-03
2.151261083781719208e+01,3.253534934717284832e-01,1.412218087352812290e-03
2.193862758576869965e+01,3.247930818308786272e-01,1.594862435013055801e-03
2.236464060842990875e+01,3.243540172147452161e-01,1.789984875358641148e-03
2.279065176844596863e+01,3.240230737895716806e-01,1.997209154069423676e-03
2.321666851639747620e+01,3.237818676464364054e-01,2.215728396549820900e-03
2.364268153905868530e+01,3.236542714152700340e-01,2.444948069751262665e-03
2.406869456171989441e+01,3.236264640997968400e-01,2.684049541130661964e-03
2.449470758438110352e+01,3.236621077217707865e-01,2.932157134637236595e-03
2.492072433233261108e+01,3.237648063208904414e-01,3.188000991940498352e-03
2.534673549234867096e+01,3.239227558405282092e-01,3.450445830821990967e-03
2.577275037765502930e+01,3.241230280281868770e-01,3.718074411153793335e-03
2.619876526296138763e+01,3.243559680252243171e-01,3.989510703831911087e-03
2.662477828562259674e+01,3.246062007998984367e-01,4.263374954462051392e-03
2.705079317092895508e+01,3.248646005269172354e-01,4.538119770586490631e-03
2.747680805623531342e+01,3.251144695911630245e-01,4.812438972294330597e-03
2.790281921625137329e+01,3.253444999047739872e-01,5.084809381514787674e-03
2.832883223891258240e+01,3.255419946673438480e-01,5.354080349206924438e-03
2.875484526157379150e+01,3.256967699868799637e-01,5.618947092443704605e-03
2.918086200952529907e+01,3.257907726003047011e-01,5.878419149667024612e-03
2.960687316954135895e+01,3.258100161884205370e-01,6.131479982286691666e-03
3.003288805484771729e+01,3.257649822244794158e-01,6.377197802066802979e-03
