x_mm,contour_wall,center,center_T,side_wall_mid
-1.231924343109130859e+01,9.173626303672790527e-01,9.149148464202880859e-01,2.794792785644531250e+02,9.149910807609558105e-01
-1.188804340362548828e+01,9.122017025947570801e-01,9.099335670471191406e-01,2.790449218750000000e+02,9.100168943405151367e-01
-1.145620918273925781e+01,9.066450595855712891e-01,9.045842289924621582e-01,2.785765686035156250e+02,9.046736955642700195e-01
-1.102372550964355469e+01,9.006600975990295410e-01,8.988380432128906250e-01,2.780713195800781250e+02,8.989337086677551270e-01
-1.059057426452636719e+01,8.942157030105590820e-01,8.926658630371093750e-01,2.775260009765625000e+02,8.927689194679260254e-01
-1.015674304962158203e+01,8.872759938240051270e-01,8.860356807708740234e-01,2.769372253417968750e+02,8.861495852470397949e-01
-9.722218513488769531e+00,8.798039555549621582e-01,8.789159059524536133e-01,2.763014526367187500e+02,8.790404200553894043e-01
-9.286991119384765625e+00,8.717619180679321289e-01,8.712716102600097656e-01,2.756147766113281250e+02,8.714060187339782715e-01
-8.851052284240722656e+00,8.631097078323364258e-01,8.630677461624145508e-01,2.748730468750000000e+02,8.632134199142456055e-01
-8.414398193359375000e+00,8.538144826889038086e-01,8.542690873146057129e-01,2.740719299316406250e+02,8.544272780418395996e-01
-7.977025508880615234e+00,8.438205718994140625e-01,8.448391556739807129e-01,2.732067565917968750e+02,8.450134396553039551e-01
-7.538935184478759766e+00,8.330918550491333008e-01,8.347435593605041504e-01,2.722728881835937500e+02,8.349363803863525391e-01
-7.100130081176757812e+00,8.215969204902648926e-01,8.239473700523376465e-01,2.712652893066406250e+02,8.241614699363708496e-01
-6.660617351531982422e+00,8.092936873435974121e-01,8.124186992645263672e-01,2.701788024902343750e+02,8.126560449600219727e-01
-6.220407962799072266e+00,7.961472868919372559e-01,8.001285791397094727e-01,2.690084228515625000e+02,8.003913760185241699e-01
-5.779515743255615234e+00,7.821287512779235840e-01,7.870522141456604004e-01,2.677490234375000000e+02,7.873456478118896484e-01
-5.337957382202148438e+00,7.672149538993835449e-01,7.731716036796569824e-01,2.663956604003906250e+02,7.735009789466857910e-01
-4.895755767822265625e+00,7.513905167579650879e-01,7.584753632545471191e-01,2.649438476562500000e+02,7.588489055633544922e-01
-4.452937126159667969e+00,7.346506118774414062e-01,7.429631352424621582e-01,2.633894348144531250e+02,7.433912754058837891e-01
-4.009532928466796875e+00,7.170031070709228516e-01,7.266467213630676270e-01,2.617291870117187500e+02,7.271437644958496094e-01
-3.565576553344726562e+00,6.984785199165344238e-01,7.095541357994079590e-01,2.599611511230468750e+02,7.101420760154724121e-01
-3.121109724044799805e+00,6.791324615478515625e-01,6.917347908020019531e-01,2.580852050781250000e+02,6.924455761909484863e-01
-2.676176786422729492e+00,6.590583324432373047e-01,6.732703447341918945e-01,2.561043701171875000e+02,6.741510629653930664e-01
-2.230829000473022461e+00,6.383962035179138184e-01,6.542868614196777344e-01,2.540267333984375000e+02,6.554173231124877930e-01
-1.785122156143188477e+00,6.174485683441162109e-01,6.350441575050354004e-01,2.518762359619140625e+02,6.364773511886596680e-01
-1.339116334915161133e+00,5.966721177101135254e-01,6.158053278923034668e-01,2.496725463867187500e+02,6.175940036773681641e-01
-8.928785920143127441e-01,5.769381523132324219e-01,5.969946384429931641e-01,2.474741363525390625e+02,5.991756916046142578e-01
-4.464806914329528809e-01,5.600461959838867188e-01,5.791641473770141602e-01,2.453458404541015625e+02,5.817151665687561035e-01
0.000000000000000000e+00,5.479982495307922363e-01,5.629543662071228027e-01,2.433709411621093750e+02,5.656656026840209961e-01
4.259844720363616943e-01,5.401326417922973633e-01,5.495456457138061523e-01,2.417062072753906250e+02,5.520982146263122559e-01
8.519678711891174316e-01,5.330820083618164062e-01,5.383476614952087402e-01,2.402931060791015625e+02,5.403358936309814453e-01
1.277949333190917969e+00,5.257167220115661621e-01,5.290682911872863770e-01,2.391054687500000000e+02,5.302340388298034668e-01
1.703928112983703613e+00,5.182550549507141113e-01,5.210559368133544922e-01,2.380677337646484375e+02,5.213887095451354980e-01
2.129903554916381836e+00,5.108880400657653809e-01,5.136566758155822754e-01,2.370993041992187500e+02,5.133950710296630859e-01
2.555875301361083984e+00,5.037152767181396484e-01,5.064785480499267578e-01,2.361503753662109375e+02,5.059236288070678711e-01
