x_mm,contour_wall,center,center_T,center_g,contour_g,side_wall_mid
-4.114286041259765625e+01,9.915984272956848145e-01,9.895702004432678223e-01,2.857951049804687500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.895607233047485352e-01
-4.051428604125976562e+01,9.916747808456420898e-01,9.894355535507202148e-01,2.857838134765625000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.894248247146606445e-01
-3.988571548461914062e+01,9.917743206024169922e-01,9.892809987068176270e-01,2.857712402343750000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.892742633819580078e-01
-3.925714111328125000e+01,9.918071627616882324e-01,9.891154766082763672e-01,2.857574768066406250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.891082644462585449e-01
-3.862857055664062500e+01,9.919091463088989258e-01,9.889292716979980469e-01,2.857423095703125000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.889246225357055664e-01
-3.800000000000000000e+01,9.918566346168518066e-01,9.887300133705139160e-01,2.857255554199218750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.887235760688781738e-01
-3.757109451293945312e+01,9.919794201850891113e-01,9.885723590850830078e-01,2.857130126953125000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.885708093643188477e-01
-3.714219284057617188e+01,9.920817017555236816e-01,9.884131550788879395e-01,2.856997680664062500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.884128570556640625e-01
-3.671328735351562500e+01,9.923658967018127441e-01,9.882416129112243652e-01,2.856856689453125000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.882413148880004883e-01
-3.628438186645507812e+01,9.923670887947082520e-01,9.880605340003967285e-01,2.856706848144531250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.880611896514892578e-01
-3.585548019409179688e+01,9.920976758003234863e-01,9.878646731376647949e-01,2.856546630859375000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.878680706024169922e-01
-3.542657089233398438e+01,9.917385578155517578e-01,9.876608252525329590e-01,2.856377563476562500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.876641035079956055e-01
-3.499766921997070312e+01,9.912540316581726074e-01,9.874410629272460938e-01,2.856197509765625000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.874466061592102051e-01
-3.456876373291015625e+01,9.907855391502380371e-01,9.872106909751892090e-01,2.856006469726562500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.872166514396667480e-01
-3.413986206054687500e+01,9.903053045272827148e-01,9.869631528854370117e-01,2.855804443359375000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.869725108146667480e-01
-3.371095657348632812e+01,9.898520708084106445e-01,9.867067337036132812e-01,2.855591125488281250e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.867146015167236328e-01
-3.328205108642578125e+01,9.893980026245117188e-01,9.864309430122375488e-01,2.855364685058593750e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.864418506622314453e-01
-3.285314559936523438e+01,9.889580011367797852e-01,9.861412644386291504e-01,2.855126342773437500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.861535429954528809e-01
-3.242424011230468750e+01,9.885271191596984863e-01,9.858372211456298828e-01,2.854874877929687500e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.858490228652954102e-01
-3.199533653259277344e+01,9.880975484848022461e-01,9.855136871337890625e-01,2.854608154296875000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.855277538299560547e-01
-3.156643295288085938e+01,9.876697063446044922e-01,9.851741790771484375e-01,2.854327392578125000e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.851893782615661621e-01
