x_mm,contour_wall,center,center_T
-3.988571465015411377e+01,9.924397827789064319e-01,9.897060690705942188e-01,2.858063354492187500e+02
-3.925714269280433655e+01,9.926215057347215209e-01,9.895427300237007451e-01,2.857928161621093750e+02
-3.862857073545455933e+01,9.927924496360250872e-01,9.893600151303537649e-01,2.857779846191406250e+02
-3.799999877810478210e+01,9.929203434484510371e-01,9.891611647198239599e-01,2.857611694335937500e+02
-3.757109493017196655e+01,9.931039841501608789e-01,9.890050998814965411e-01,2.857491149902343750e+02
-3.714219108223915100e+01,9.930840131411884375e-01,9.888487705264940031e-01,2.857358093261718750e+02
-3.671328723430633545e+01,9.928373513416285379e-01,9.886751153292703265e-01,2.857218322753906250e+02
-3.628438338637351990e+01,9.924975135432537732e-01,9.884949794735060635e-01,2.857067565917968750e+02
-3.585547953844070435e+01,9.920794449382088764e-01,9.882998322964279270e-01,2.856908874511718750e+02
-3.542657196521759033e+01,9.916523827662095947e-01,9.880945012273574246e-01,2.856738586425781250e+02
-3.499766811728477478e+01,9.912158641230742750e-01,9.878751507745048288e-01,2.856558837890625000e+02
-3.456876426935195923e+01,9.907904551802945159e-01,9.876434341670898842e-01,2.856367492675781250e+02
-3.413986042141914368e+01,9.903710639918740233e-01,9.873973014008803339e-01,2.856164855957031250e+02
-3.371095657348632812e+01,9.899594760453699349e-01,9.871372815092263053e-01,2.855950622558593750e+02
-3.328205272555351257e+01,9.895523848823429836e-01,9.868621180379211211e-01,2.855724182128906250e+02
-3.285314515233039856e+01,9.891478727568986384e-01,9.865716787286270550e-01,2.855484619140625000e+02
-3.242424130439758301e+01,9.887432945022853747e-01,9.862651700313187497e-01,2.855232238769531250e+02
-3.199533745646476746e+01,9.883365339851024611e-01,9.859419306543084627e-01,2.854965515136718750e+02
-3.156643360853195190e+01,9.879258057177924268e-01,9.856012331767394219e-01,2.854684753417968750e+02
-3.113752976059913635e+01,9.875084645336041911e-01,9.852424824360928035e-01,2.854388732910156250e+02
-3.070862405002117157e+01,9.870842459158625237e-01,9.848649510115117245e-01,2.854077148437500000e+02
-3.027972020208835602e+01,9.866499756644658836e-01,9.844675808362959302e-01,2.853749084472656250e+02
-2.985081635415554047e+01,9.862048602293889132e-01,9.840495783604198410e-01,2.853403930664062500e+02
-2.942191064357757568e+01,9.857467173480616296e-01,9.836099516463517878e-01,2.853040771484375000e+02
-2.899300679564476013e+01,9.852742905662772444e-01,9.831476426273911828e-01,2.852658996582031250e+02
-2.856410294771194458e+01,9.847859266548163459e-01,9.826618577535127796e-01,2.852257080078125000e+02
-2.813519723713397980e+01,9.842803691594718130e-01,9.821508776663281370e-01,2.851834411621093750e+02
-2.770629338920116425e+01,9.837554358176739955e-01,9.816134459116302446e-01,2.851390380859375000e+02
-2.727738954126834869e+01,9.832092750126968372e-01,9.810484382935500403e-01,2.850922851562500000e+02
-2.684848569333553314e+01,9.826399028694768889e-01,9.804538709370238525e-01,2.850430603027343750e+02
-2.641957998275756836e+01,9.820456000296258203e-01,9.798283551295073890e-01,2.849912109375000000e+02
-2.599067613482475281e+01,9.814240519722363665e-01,9.791697747375994743e-01,2.849366760253906250e+02
-2.556177228689193726e+01,9.807734070805823601e-01,9.784761458862366590e-01,2.848791503906250000e+02
-2.513286657631397247e+01,9.800908879295751053e-01,9.777456169586931090e-01,2.848185424804687500e+02
-2.470396272838115692e+01,9.793735848357880691e-01,9.769753444007109877e-01,2.847546081542968750e+02
-2.427505888044834137e+01,9.786189848908075639e-01,9.761631459497206453e-01,2.846871643066406250e+02
-2.384615316987037659e+01,9.778240461528694416e-01,9.753059135347892372e-01,2.846159362792968750e+02
-2.341724932193756104e+01,9.769845363551717954e-01,9.744006052141527263e-01,2.845406494140625000e+02
-2.298834547400474548e+01,9.760971490392754690e-01,9.734441129168782680e-01,2.844610595703125000e+02
-2.255943976342678070e+01,9.751570567758591768e-01,9.724326672803453864e-01,2.843768310546875000e+02
-2.213053591549396515e+01,9.741588369730828090e-01,9.713624989419332723e-01,2.842876281738281250e+02
-2.170163206756114960e+01,9.730971331682749526e-01,9.702294417640088264e-01,2.841931457519531250e+02
-2.127272821962833405e+01,9.719626872778059923e-01,9.690289328339258823e-01,2.840929260253906250e+02
-2.084871754050254822e+01,9.707635009310986440e-01,9.677706931394954859e-01,2.839877929687500000e+02
-2.042467519640922546e+01,9.694803305400372384e-01,9.664364710301337480e-01,2.838762512207031250e+02
-2.000056765973567963e+01,9.681074228669375170e-01,9.650205793973252177e-01,2.837577209472656250e+02
-1.957635954022407532e+01,9.666406117741662696e-01,9.635168682283731245e-01,2.836316833496093750e+02
-1.915201917290687561e+01,9.650722924073134035e-01,9.619185923480616518e-01,2.834975891113281250e+02
-1.872751675546169281e+01,9.633971083037075056e-01,9.602184114186558261e-01,2.833547363281250000e+02
-1.830281503498554230e+01,9.616055368630438416e-01,9.584085221982393543e-01,2.832024841308593750e+02
-1.787788607180118561e+01,9.596903038767563565e-01,9.564806585407144013e-01,2.830401000976562500e+02
-1.745269633829593658e+01,9.576408948070086469e-01,9.544252978457762326e-01,2.828666992187500000e+02
