x_mm,contour_wall,center,center_T,side_wall_mid
-2.213053512573242188e+01,9.737313985824584961e-01,9.708760380744934082e-01,2.842473144531250000e+02,9.709013104438781738e-01
-2.170163154602050781e+01,9.726665616035461426e-01,9.697405099868774414e-01,2.841525268554687500e+02,9.697673320770263672e-01
-2.127272796630859375e+01,9.715288281440734863e-01,9.685369133949279785e-01,2.840520629882812500e+02,9.685651659965515137e-01
-2.084871673583984375e+01,9.703271985054016113e-01,9.672775864601135254e-01,2.839467773437500000e+02,9.673069119453430176e-01
-2.042467498779296875e+01,9.690399169921875000e-01,9.659408330917358398e-01,2.838349914550781250e+02,9.659724831581115723e-01
-2.000056838989257812e+01,9.676652550697326660e-01,9.645245075225830078e-01,2.837163085937500000e+02,9.645572900772094727e-01
-1.957635879516601562e+01,9.661947488784790039e-01,9.630186557769775391e-01,2.835900878906250000e+02,9.630537033081054688e-01
-1.915201950073242188e+01,9.646240472793579102e-01,9.614193439483642578e-01,2.834558715820312500e+02,9.614561796188354492e-01
-1.872751617431640625e+01,9.629474878311157227e-01,9.597191810607910156e-01,2.833129577636718750e+02,9.597577452659606934e-01
-1.830281448364257812e+01,9.611539840698242188e-01,9.579092264175415039e-01,2.831606140136718750e+02,9.579505324363708496e-01
-1.787788581848144531e+01,9.592368006706237793e-01,9.559817910194396973e-01,2.829981994628906250e+02,9.560251832008361816e-01
-1.745269584655761719e+01,9.571853280067443848e-01,9.539273977279663086e-01,2.828248291015625000e+02,9.539729952812194824e-01
-1.702721405029296875e+01,9.549918174743652344e-01,9.517366886138916016e-01,2.826396484375000000e+02,9.517848491668701172e-01
-1.660140800476074219e+01,9.526423215866088867e-01,9.493985772132873535e-01,2.824415893554687500e+02,9.494500160217285156e-01
-1.617524909973144531e+01,9.501250982284545898e-01,9.469008445739746094e-01,2.822296752929687500e+02,9.469552040100097656e-01
-1.574870777130126953e+01,9.474285244941711426e-01,9.442312121391296387e-01,2.820028076171875000e+02,9.442884922027587891e-01
-1.532175254821777344e+01,9.445344805717468262e-01,9.413766264915466309e-01,2.817596130371093750e+02,9.414371252059936523e-01
-1.489435768127441406e+01,9.414286613464355469e-01,9.383215904235839844e-01,2.814988098144531250e+02,9.383869767189025879e-01
-1.446649360656738281e+01,9.380943775177001953e-01,9.350507259368896484e-01,2.812189331054687500e+02,9.351196289062500000e-01
-1.403813457489013672e+01,9.345118999481201172e-01,9.315459728240966797e-01,2.809182128906250000e+02,9.316188097000122070e-01
-1.360925388336181641e+01,9.306609630584716797e-01,9.277887940406799316e-01,2.805949401855468750e+02,9.278659820556640625e-01
-1.317982769012451172e+01,9.265204668045043945e-01,9.237601161003112793e-01,2.802472534179687500e+02,9.238424301147460938e-01
-1.274983215332031250e+01,9.220651984214782715e-01,9.194371700286865234e-01,2.798730163574218750e+02,9.195259213447570801e-01
-1.231924343109130859e+01,9.172717332839965820e-01,9.147974848747253418e-01,2.794699401855468750e+02,9.148911833763122559e-01
-1.188804340362548828e+01,9.121099710464477539e-01,9.098156094551086426e-01,2.790355224609375000e+02,9.099148511886596680e-01
-1.145620918273925781e+01,9.065524339675903320e-01,9.044653177261352539e-01,2.785671081542968750e+02,9.045705795288085938e-01
-1.102372550964355469e+01,9.005680084228515625e-01,8.987185955047607422e-01,2.780617370605468750e+02,8.988324403762817383e-01
-1.059057426452636719e+01,8.941228985786437988e-01,8.925459980964660645e-01,2.775163269042968750e+02,8.926684856414794922e-01
-1.015674304962158203e+01,8.871817588806152344e-01,8.859154582023620605e-01,2.769274902343750000e+02,8.860461115837097168e-01
-9.722218513488769531e+00,8.797102570533752441e-01,8.787952661514282227e-01,2.762916564941406250e+02,8.789343833923339844e-01
-9.286991119384765625e+00,8.716673254966735840e-01,8.711504340171813965e-01,2.756048583984375000e+02,8.712987303733825684e-01
-8.851052284240722656e+00,8.630158901214599609e-01,8.629458546638488770e-01,2.748629760742187500e+02,8.631066679954528809e-01
-8.414398193359375000e+00,8.537210226058959961e-01,8.541465401649475098e-01,2.740617065429687500e+02,8.543211221694946289e-01
-7.977025508880615234e+00,8.437272906303405762e-01,8.447158336639404297e-01,2.731964111328125000e+02,8.449058532714843750e-01
-7.538935184478759766e+00,8.329980969429016113e-01,8.346187472343444824e-01,2.722622985839843750e+02,8.348245620727539062e-01
-7.100130081176757812e+00,8.215025663375854492e-01,8.238207697868347168e-01,2.712543640136718750e+02,8.240443468093872070e-01
-6.660617351531982422e+00,8.091984987258911133e-01,8.122895956039428711e-01,2.701675415039062500e+02,8.125339746475219727e-01
-6.220407962799072266e+00,7.960501313209533691e-01,7.999958992004394531e-01,2.689967041015625000e+02,8.002645969390869141e-01
-5.779515743255615234e+00,7.820291519165039062e-01,7.869149446487426758e-01,2.677366943359375000e+02,7.872122526168823242e-01
-5.337957382202148438e+00,7.671107649803161621e-01,7.730279564857482910e-01,2.663825988769531250e+02,7.733599543571472168e-01
-4.895755767822265625e+00,7.512791156768798828e-01,7.583231925964355469e-01,2.649296875000000000e+02,7.586981058120727539e-01
-4.452937126159667969e+00,7.345296144485473633e-01,7.427994608879089355e-01,2.633738708496093750e+02,7.432270646095275879e-01
-4.009532928466796875e+00,7.168683409690856934e-01,7.264678478240966797e-01,2.617118225097656250e+02,7.269614338874816895e-01
-3.565576553344726562e+00,6.983273029327392578e-01,7.093549370765686035e-01,2.599413146972656250e+02,7.099344730377197266e-01
-3.121109724044799805e+00,6.789568662643432617e-01,6.915082931518554688e-01,2.580620727539062500e+02,6.922043561935424805e-01
-2.676176786422729492e+00,6.588437557220458984e-01,6.730076670646667480e-01,2.560769042968750000e+02,6.738678216934204102e-01
-2.230829000473022461e+00,6.381261944770812988e-01,6.539760828018188477e-01,2.539932861328125000e+02,6.550828218460083008e-01
-1.785122156143188477e+00,6.170834898948669434e-01,6.346719861030578613e-01,2.518352966308593750e+02,6.360822319984436035e-01
-1.339116334915161133e+00,5.961751341819763184e-01,6.153656840324401855e-01,2.496226654052734375e+02,6.171297430992126465e-01
-8.928785920143127441e-01,5.762922763824462891e-01,5.964959859848022461e-01,2.474160461425781250e+02,5.986651778221130371e-01
-4.464806914329528809e-01,5.593028068542480469e-01,5.786419510841369629e-01,2.452835388183593750e+02,5.811683535575866699e-01
0.000000000000000000e+00,5.473830103874206543e-01,5.624863505363463245e-01,2.433141021728515625e+02,5.651708245277403675e-01
4.259844720363616943e-01,5.399877429008483887e-01,5.492472648620605469e-01,2.416696624755859375e+02,5.517470240592956543e-01
8.519678711891174316e-01,5.335084199905395508e-01,5.383607745170593262e-01,2.402957000732421875e+02,5.402880907058715820e-01
1.277949333190917969e+00,5.266098380088806152e-01,5.295090079307556152e-01,2.391630859375000000e+02,5.306162238121032715e-01
1.703928112983703613e+00,5.195313692092895508e-01,5.219696760177612305e-01,2.381875457763671875e+02,5.223359465599060059e-01
2.129903554916381836e+00,5.124937891960144043e-01,5.150174498558044434e-01,2.372790222167968750e+02,5.149303674697875977e-01
2.555875301361083984e+00,5.056304931640625000e-01,5.082283020019531250e-01,2.363834381103515625e+02,5.080022811889648438e-01
2.981842994689941406e+00,4.989510178565979004e-01,5.014697313308715820e-01,2.354834289550781250e+02,5.013327002525329590e-01
3.407806634902954102e+00,4.924404025077819824e-01,4.947753846645355225e-01,2.345834350585937500e+02,4.948086738586425781e-01
3.833765745162963867e+00,4.861101508140563965e-01,4.882185161113739014e-01,2.336933746337890625e+02,4.884115457534790039e-01
4.259720802307128906e+00,4.799552261829376221e-01,4.818518459796905518e-01,2.328209228515625000e+02,4.821620881557464600e-01
4.685671806335449219e+00,4.739859700202941895e-01,4.756985902786254883e-01,2.319698791503906250e+02,4.760901927947998047e-01
5.111619472503662109e+00,4.682295918464660645e-01,4.697652161121368408e-01,2.311416931152343750e+02,4.701969623565673828e-01
5.537562847137451172e+00,4.627060592174530029e-01,4.640520513057708740e-01,2.303371887207031250e+02,4.644924700260162354e-01
5.963503360748291016e+00,4.574050307273864746e-01,4.585576951503753662e-01,2.295567626953125000e+02,4.589946866035461426e-01
6.389441490173339844e+00,4.523229598999023438e-01,4.532813727855682373e-01,2.288009796142578125e+02,4.537194073200225830e-01
6.815377235412597656e+00,4.474723041057586670e-01,4.482234120368957520e-01,2.280705413818359375e+02,4.486595690250396729e-01
7.241311073303222656e+00,4.428530633449554443e-01,4.433872401714324951e-01,2.273666381835937500e+02,4.438140988349914551e-01
7.667243480682373047e+00,4.384441971778869629e-01,4.387786686420440674e-01,2.266906890869140625e+02,4.391934871673583984e-01
8.093175888061523438e+00,4.342241883277893066e-01,4.344027638435363770e-01,2.260441436767578125e+02,4.348051249980926514e-01
8.519189834594726562e+00,4.301691651344299316e-01,4.302566051483154297e-01,2.254272918701171875e+02,4.306357502937316895e-01
8.945203781127929688e+00,4.262738227844238281e-01,4.263284504413604736e-01,2.248389129638671875e+02,4.266621172428131104e-01
9.371217727661132812e+00,4.225265383720397949e-01,4.225971102714538574e-01,2.242763824462890625e+02,4.228695631027221680e-01
9.797231674194335938e+00,4.189207255840301514e-01,4.190349280834197998e-01,2.237360382080078125e+02,4.192454814910888672e-01
1.022324562072753906e+01,4.154549837112426758e-01,4.156125485897064209e-01,2.232137603759765625e+02,4.157715737819671631e-01
1.064925956726074219e+01,4.121238589286804199e-01,4.123052954673767090e-01,2.227061920166015625e+02,4.124215245246887207e-01
1.107527351379394531e+01,4.089207053184509277e-01,4.090967476367950439e-01,2.222109375000000000e+02,4.091774821281433105e-01
1.150128746032714844e+01,4.058217406272888184e-01,4.059795737266540527e-01,2.217271423339843750e+02,4.060322642326354980e-01
1.192730045318603516e+01,4.028094708919525146e-01,4.029520750045776367e-01,2.212547149658203125e+02,4.029870629310607910e-01
1.235331439971923828e+01,3.998721837997436523e-01,4.000116288661956787e-01,2.207934112548828125e+02,4.000360369682312012e-01
1.277932834625244141e+01,3.970096707344055176e-01,3.971514403820037842e-01,2.203423614501953125e+02,3.971745371818542480e-01
1.320534229278564453e+01,3.942192792892456055e-01,3.943631350994110107e-01,2.199004364013671875e+02,3.943870663642883301e-01
1.363135623931884766e+01,3.915021717548370361e-01,3.916393518447875977e-01,2.194665679931640625e+02,3.916679024696350098e-01
