step,physID,n,Tw_mean,Tw_min,Tw_max,dTw_max,res_abs_Wm2,res_max_W,res_rel,q_total,res_solid
2500,5,480,5.8725517822e+02,5.2591489498e+02,6.5678591342e+02,9.3234139833e-03,1.8599266787e+02,1.5652274624e-01,7.9580100529e-04,4.3492151837e+04,1.0292056760e-02
2550,5,480,5.8725830138e+02,5.2591698579e+02,6.5678838034e+02,6.3117989210e-03,1.3697426684e+02,1.2133711179e-01,6.1693508841e-04,4.3485423453e+04,1.1143719679e-02
2600,5,480,5.8726031700e+02,5.2591447083e+02,6.5679016604e+02,4.7743205163e-03,1.1193564950e+02,1.0426444655e-01,5.3015686997e-04,4.3477633824e+04,1.1602940323e-02
2650,5,480,5.8726114359e+02,5.2590822031e+02,6.5679108007e+02,6.6577836423e-03,1.5284817914e+02,1.3743391754e-01,6.9884865044e-04,4.3469208025e+04,1.1679015026e-02
2700,5,480,5.8726075253e+02,5.2589908265e+02,6.5679097094e+02,9.6414923675e-03,2.1217038506e+02,1.8847397973e-01,9.5844566916e-04,4.3460699703e+04,1.1396320843e-02
2750,5,480,5.8725931767e+02,5.2588856806e+02,6.5679015783e+02,1.1490750379e-02,2.5912128079e+02,2.1635542444e-01,1.1002824708e-03,4.3453752688e+04,1.0797803698e-02
2800,5,480,5.8725710933e+02,5.2587738413e+02,6.5678904919e+02,1.2381322456e-02,2.7908545223e+02,2.2783472021e-01,1.1587191043e-03,4.3448243983e+04,9.9422740072e-03
2850,5,480,5.8725439973e+02,5.2586582818e+02,6.5678765860e+02,1.2874054531e-02,2.8889723637e+02,2.3880918486e-01,1.2146116693e-03,4.3443958141e+04,8.9415180814e-03
2900,5,480,5.8725122590e+02,5.2585469139e+02,6.5678571821e+02,1.2564562443e-02,2.8014870873e+02,2.3210208738e-01,1.1805813137e-03,4.3440280695e+04,7.8734984085e-03
2950,5,480,5.8724780225e+02,5.2584441237e+02,6.5678352070e+02,1.1823079268e-02,2.6341407189e+02,2.1312315854e-01,1.0841097069e-03,4.3437723690e+04,6.7889154720e-03
3000,5,480,5.8724433290e+02,5.2583531834e+02,6.5678110779e+02,1.0494902764e-02,2.3085240677e+02,1.9170065582e-01,9.7516349958e-04,4.3436730087e+04,5.7488637735e-03
3050,5,480,5.8724100137e+02,5.2582762291e+02,6.5677806008e+02,9.1200966880e-03,2.0215740577e+02,1.6740387048e-01,8.5158849466e-04,4.3436933510e+04,4.8034954484e-03
3100,5,480,5.8723796230e+02,5.2582139883e+02,6.5677447372e+02,7.6711267562e-03,1.7072861363e+02,1.4040655230e-01,7.1427419902e-04,4.3438094031e+04,3.9752797342e-03
3150,5,480,5.8723529648e+02,5.2581707454e+02,6.5677095137e+02,5.9182846311e-03,1.3389672119e+02,1.1662704254e-01,5.9331704072e-04,4.3440021242e+04,4.2147022691e-03
3200,5,480,5.8723294643e+02,5.2581439690e+02,6.5676761270e+02,5.6963696929e-03,1.2708383219e+02,1.1666175113e-01,5.9349854997e-04,4.3441634729e+04,4.6279097945e-03
3250,5,480,5.8723087462e+02,5.2581299672e+02,6.5676435329e+02,5.4750795603e-03,1.2061592729e+02,1.1068151142e-01,5.6307901234e-04,4.3443149751e+04,5.0284747934e-03
3300,5,480,5.8722914644e+02,5.2581296544e+02,6.5676138740e+02,5.0765512402e-03,1.1266414545e+02,1.0342461563e-01,5.2615850726e-04,4.3445089235e+04,5.4058713916e-03
3350,5,480,5.8722782543e+02,5.2581405867e+02,6.5675914837e+02,4.5228031181e-03,9.9125434611e+01,9.1200493865e-02,4.6396509533e-04,4.3447577784e+04,5.7549724337e-03
3400,5,480,5.8722693254e+02,5.2581625048e+02,6.5675732587e+02,3.8879311625e-03,8.4591036322e+01,7.7653768041e-02,3.9503942232e-04,4.3450436037e+04,6.0673971078e-03
