x y z Ts
3.2685253769e-02 1.2362223864e-01 0.0000000000e+00 6.0150415039e+02
3.3055722713e-02 1.2318697572e-01 0.0000000000e+00 6.0149572754e+02
3.3424556255e-02 1.2273818254e-01 0.0000000000e+00 6.0150518799e+02
3.3791851252e-02 1.2227541208e-01 0.0000000000e+00 6.0152996826e+02
3.4157823771e-02 1.2179817259e-01 0.0000000000e+00 6.0155413818e+02
3.4522783011e-02 1.2130602449e-01 0.0000000000e+00 6.0158972168e+02
3.4886859357e-02 1.2079831958e-01 0.0000000000e+00 6.0162847900e+02
3.5250402987e-02 1.2027453631e-01 0.0000000000e+00 6.0166424561e+02
3.5613592714e-02 1.1973412335e-01 0.0000000000e+00 6.0171215820e+02
3.5976745188e-02 1.1917631328e-01 0.0000000000e+00 6.0172906494e+02
3.6340218037e-02 1.1860057712e-01 0.0000000000e+00 6.0175775146e+02
3.6704409868e-02 1.1800617725e-01 0.0000000000e+00 6.0173803711e+02
3.7069652230e-02 1.1739221215e-01 0.0000000000e+00 6.0170452881e+02
3.7436522543e-02 1.1675789952e-01 0.0000000000e+00 6.0163031006e+02
3.7805587053e-02 1.1610219628e-01 0.0000000000e+00 6.0150268555e+02
3.8177423179e-02 1.1542420834e-01 0.0000000000e+00 6.0133416748e+02
3.8552597165e-02 1.1472315341e-01 0.0000000000e+00 6.0112127686e+02
3.8930881768e-02 1.1399959028e-01 0.0000000000e+00 6.0086199951e+02
3.9310630411e-02 1.1325798184e-01 0.0000000000e+00 6.0056402588e+02
3.9687670767e-02 1.1250758916e-01 0.0000000000e+00 6.0021661377e+02
4.0058530867e-02 1.1175757647e-01 0.0000000000e+00 5.9983874512e+02
4.0424540639e-02 1.1100739241e-01 0.0000000000e+00 5.9942852783e+02
4.0792103857e-02 1.1024506390e-01 0.0000000000e+00 5.9900689697e+02
4.1167993098e-02 1.0945599526e-01 0.0000000000e+00 5.9853894043e+02
4.1554424912e-02 1.0863500088e-01 0.0000000000e+00 5.9804022217e+02
4.1947260499e-02 1.0779000819e-01 0.0000000000e+00 5.9751831055e+02
4.2339175940e-02 1.0693653673e-01 0.0000000000e+00 5.9695806885e+02
4.2722947896e-02 1.0609091073e-01 0.0000000000e+00 5.9638232422e+02
4.3094020337e-02 1.0526381433e-01 0.0000000000e+00 5.9577856445e+02
4.3453328311e-02 1.0445412248e-01 0.0000000000e+00 5.9515759277e+02
4.3805636466e-02 1.0365183651e-01 0.0000000000e+00 5.9450262451e+02
4.4154807925e-02 1.0284847766e-01 0.0000000000e+00 5.9380706787e+02
4.4502034783e-02 1.0204197466e-01 0.0000000000e+00 5.9307727051e+02
4.4847518206e-02 1.0123161227e-01 0.0000000000e+00 5.9229943848e+02
4.5192811638e-02 1.0041415691e-01 0.0000000000e+00 5.9148980713e+02
4.5539494604e-02 9.9585950375e-02 0.0000000000e+00 5.9065148926e+02
4.5887958258e-02 9.8745912313e-02 0.0000000000e+00 5.8978094482e+02
4.6237535775e-02 9.7895801067e-02 0.0000000000e+00 5.8891522217e+02
4.6586826444e-02 9.7039170563e-02 0.0000000000e+00 5.8807348633e+02
4.6933431178e-02 9.6181578934e-02 0.0000000000e+00 5.8725653076e+02
4.7274477780e-02 9.5330663025e-02 0.0000000000e+00 5.8649450684e+02
4.7608271241e-02 9.4491176307e-02 0.0000000000e+00 5.8579382324e+02
4.7936886549e-02 9.3658328056e-02 0.0000000000e+00 5.8514880371e+02
4.8264853656e-02 9.2820838094e-02 0.0000000000e+00 5.8453338623e+02
4.8594273627e-02 9.1973379254e-02 0.0000000000e+00 5.8394451904e+02
4.8922859132e-02 9.1121882200e-02 0.0000000000e+00 5.8334460449e+02
4.9248214811e-02 9.0273007751e-02 0.0000000000e+00 5.8273498535e+02
4.9571096897e-02 8.9424729347e-02 0.0000000000e+00 5.8207910156e+02
4.9894005060e-02 8.8570684195e-02 0.0000000000e+00 5.8135919189e+02
5.0217688084e-02 8.7709173560e-02 0.0000000000e+00 5.8056579590e+02
5.0540778786e-02 8.6843915284e-02 0.0000000000e+00 5.7969897461e+02
5.0862908363e-02 8.5976034403e-02 0.0000000000e+00 5.7877380371e+02
5.1184907556e-02 8.5103511810e-02 0.0000000000e+00 5.7782031250e+02
5.1506292075e-02 8.4227718413e-02 0.0000000000e+00 5.7689160156e+02
5.1825866103e-02 8.3352081478e-02 0.0000000000e+00 5.7602062988e+02
5.2144277841e-02 8.2475483418e-02 0.0000000000e+00 5.7532086182e+02
5.2463084459e-02 8.1593327224e-02 0.0000000000e+00 5.7482012939e+02
5.2783187479e-02 8.0703571439e-02 0.0000000000e+00 5.7454870605e+02
5.3104076535e-02 7.9807594419e-02 0.0000000000e+00 5.7456671143e+02
5.3424775600e-02 7.8908756375e-02 0.0000000000e+00 5.7485217285e+02
5.3743440658e-02 7.8011959791e-02 0.0000000000e+00 5.7536944580e+02
5.4058868438e-02 7.7121093869e-02 0.0000000000e+00 5.7602923584e+02
5.4371718317e-02 7.6234504580e-02 0.0000000000e+00 5.7675378418e+02
5.4683510214e-02 7.5348325074e-02 0.0000000000e+00 5.7745025635e+02
5.4994281381e-02 7.4462629855e-02 0.0000000000e+00 5.7803674316e+02
5.5303674191e-02 7.3578774929e-02 0.0000000000e+00 5.7844274902e+02
5.5612634867e-02 7.2694227099e-02 0.0000000000e+00 5.7860473633e+02
5.5922038853e-02 7.1806840599e-02 0.0000000000e+00 5.7851202393e+02
5.6230295449e-02 7.0920936763e-02 0.0000000000e+00 5.7815118408e+02
5.6535448879e-02 7.0043094456e-02 0.0000000000e+00 5.7759368896e+02
5.6837491691e-02 6.9172836840e-02 0.0000000000e+00 5.7688909912e+02
5.7139143348e-02 6.8302080035e-02 0.0000000000e+00 5.7611633301e+02
5.7443156838e-02 6.7423306406e-02 0.0000000000e+00 5.7539459229e+02
5.7748951018e-02 6.6538177431e-02 0.0000000000e+00 5.7482141113e+02
5.8053202927e-02 6.5655916929e-02 0.0000000000e+00 5.7441900635e+02
5.8353792876e-02 6.4782738686e-02 0.0000000000e+00 5.7429058838e+02
5.8651622385e-02 6.3915997744e-02 0.0000000000e+00 5.7437561035e+02
5.8949530125e-02 6.3047550619e-02 0.0000000000e+00 5.7460314941e+02
5.9249937534e-02 6.2170293182e-02 0.0000000000e+00 5.7484332275e+02
5.9553604573e-02 6.1281807721e-02 0.0000000000e+00 5.7495898438e+02
5.9860106558e-02 6.0383301228e-02 0.0000000000e+00 5.7479748535e+02
